,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,63113,182,,5.5,4.3,7.0,5.5,7.1,13.2,9.6,12.5,9.2,9.3,7.7,5.3,3.7,,,83.2,19.7,80.3,75.3,70.6,22.2,16.7,,48.9,77.8,15.3,51.1,82.8,18.1,,98.6,3.3,94.8,,0.5,,,1.4,4.0,96.1,0.5,0.9,,0.1,,0.8,99.2,2.7,94.7,,0.5,
0,63115,152,,6.4,5.2,7.6,6.9,7.2,10.6,11.2,13.4,7.1,6.5,8.8,6.0,3.0,,,80.7,23.3,76.7,72.5,66.7,21.6,17.8,,43.3,73.4,13.5,56.7,79.2,21.1,,99.5,0.8,98.4,,0.1,0.1,0.1,0.5,1.1,98.9,0.4,0.1,0.1,0.1,,0.6,99.4,0.7,98.1,,0.1,0.1
0,63116,254,,7.7,5.3,5.0,4.3,5.0,20.9,15.2,12.4,6.7,6.5,6.8,2.9,1.3,,,82.1,20.7,79.3,77.0,72.7,14.5,11.0,,50.4,78.4,9.3,49.6,80.2,12.7,,97.5,67.9,20.3,0.6,6.5,0.1,2.1,2.5,70.0,21.3,1.0,7.7,0.2,2.3,,7.9,92.1,61.7,20.2,0.5,6.4,0.1
0,63118,123,,10.4,7.3,7.2,4.7,7.1,20.6,14.7,10.2,6.0,4.5,5.0,1.8,0.6,,,75.1,27.8,72.2,68.9,63.4,10.0,7.4,,48.3,73.2,6.3,51.7,71.3,8.5,,96.5,40.9,51.2,,2.6,,1.8,3.5,44.3,53.9,0.5,3.1,,2.0,,7.0,93.0,34.9,51.1,,2.6,
0,63120,41,,6.4,8.2,8.2,7.9,7.4,14.4,10.0,10.5,7.7,7.0,7.6,3.7,1.0,,,77.2,26.1,73.9,68.2,62.0,17.0,12.3,,48.1,78.0,10.4,51.9,70.1,14.1,,98.9,2.1,95.8,,0.9,,0.1,1.1,2.3,96.9,0.9,0.9,,0.1,,0.5,99.5,1.8,95.6,,0.9,
0,63123,9,,4.9,5.4,4.5,5.0,7.5,15.4,10.9,13.1,7.3,7.0,10.1,5.1,3.7,,,85.1,17.6,82.4,79.1,72.6,22.8,18.9,,48.3,80.4,15.2,51.7,84.2,22.3,,98.0,90.4,2.5,0.4,3.6,0.1,1.0,2.0,92.3,3.2,1.0,4.4,0.1,1.0,,2.3,97.7,89.0,2.5,0.4,3.6,
0,63136,25,,7.3,8.0,7.3,7.0,7.0,14.3,10.7,11.8,7.0,5.8,8.9,3.4,1.4,,,77.4,27.1,72.9,69.2,63.4,17.2,13.7,,43.7,67.9,11.4,56.3,76.9,15.5,,97.6,7.1,89.5,0.3,,,0.6,2.4,8.8,91.9,1.8,0.3,,0.6,,1.0,99.0,6.8,89.4,0.3,,
0,63137,5,,8.0,6.8,6.4,7.5,9.4,12.7,10.9,13.3,7.7,4.4,6.9,3.3,2.6,,,78.8,25.1,74.9,69.4,61.9,15.7,12.9,,44.4,70.7,13.6,55.6,78.3,12.3,,98.3,19.1,78.7,0.1,0.2,,0.3,1.7,19.8,80.1,0.6,0.6,,0.6,,0.8,99.2,18.9,78.6,0.1,0.2,
0,63139,88,,5.8,3.2,3.2,2.6,4.4,26.2,15.5,13.7,7.0,5.7,8.2,3.3,1.3,,,87.9,13.7,86.3,84.8,80.9,16.6,12.8,,50.7,84.1,10.6,49.3,88.6,15.2,,96.0,81.5,9.0,0.1,4.0,,1.3,4.0,85.4,9.9,1.6,5.9,0.1,1.4,,3.5,96.5,79.4,9.0,0.1,4.0,
0,63147,126,,8.0,5.6,7.0,6.3,7.3,13.0,10.5,13.7,6.7,6.6,8.7,4.8,1.8,,,79.4,23.2,76.8,72.6,65.7,19.0,15.3,,48.3,75.3,14.6,51.7,78.2,15.9,,98.3,3.6,93.9,0.6,,,0.2,1.7,4.8,95.2,1.9,0.1,,0.3,,0.3,99.7,3.5,93.7,0.6,,
