,zipcode,covid_cases,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,63112,110,"11,423","8,390","3,237","5,153",2.65,1.92,"3,033",370,"1,046",79,"3,607",10.3,"6,199",16.9,"8,563","9,903","11,423","3,948","3,558",390,"1,737","1,027","1,486",724,"2,420",18,63,2,"11,423",102,955,629,487,611,639,764,805,"6,431","8,390","4,791","1,660",526,"1,413","8,390","2,336","3,803","1,712",539,"8,390","4,818",130,"3,374",19,-,-,-,-,49,"8,390",85,97,237,"8,390","8,313",35,42,"3,237",545,683,418,489,567,373,103,59,-,"$145,800","$182,683","3,237","1,816",655,"$1,430","1,421",308,$465,"5,153","5,025",128,$833,$861,"2,626","2,971"
0,63113,182,"7,010","4,580","1,925","2,655",2.43,2.27,"2,430",210,329,-,"2,135",9.8,"2,984",11.0,"4,676","6,022","7,010","3,679","3,316",363,"1,536",822,158,125,660,30,-,4,"7,010",250,511,216,81,224,243,610,764,"4,111","4,580","2,182","1,123",391,884,"4,580","1,727","1,840",555,458,"4,580","3,169",22,"1,360",-,-,-,-,-,29,"4,580",5,31,105,"4,580","4,508",66,6,"1,925",582,838,137,208,100,60,-,-,-,"$66,800","$86,860","1,925",885,327,"$1,068","1,040",278,$417,"2,655","2,547",108,$745,$767,"1,515","1,261"
0,63115,152,"11,894","7,519","3,568","3,951",2.61,2.24,"4,375",213,351,52,"3,781",5.6,"4,302",8.2,"9,318","8,861","11,894","6,129","6,012",117,"2,865","2,136",275,146,274,69,-,6,"11,894",-,327,261,98,433,804,"1,543","1,414","7,014","7,519","3,421","1,520",685,"1,893","7,519","2,233","3,775","1,176",335,"7,519","6,114",49,"1,313",-,-,-,-,21,22,"7,519",28,47,173,"7,519","7,472",47,-,"3,568","1,372","1,889",139,95,17,-,41,-,15,"$55,900","$89,253","3,568","1,688",920,"$1,024","1,880",454,$397,"3,951","3,668",283,$776,$791,"2,576","1,988"
0,63116,254,"21,877","19,248","10,438","8,810",2.40,2.15,"2,629",338,658,54,"10,776",3.1,"9,468",6.9,"25,066","18,967","21,877","13,086","12,724",362,"3,283","3,326",843,649,539,151,-,7,"21,877",46,255,223,456,546,"1,652","2,809","1,702","14,188","19,248","9,826","4,900","2,451","2,071","19,248","2,682","7,982","6,673","1,911","19,248","16,252",138,"2,758",-,-,40,-,17,43,"19,248",97,115,489,"19,248","18,830",294,124,"10,438",487,"3,229","3,636","1,628",900,487,64,7,-,"$117,000","$132,997","10,438","7,488","1,918","$1,166","2,950",338,$433,"8,810","8,606",204,$748,$814,"4,112","4,264"
0,63118,123,"15,373","11,202","3,992","7,210",2.52,2.50,"4,171",328,780,179,"4,320",7.6,"7,990",9.8,"10,042","17,998","15,373","6,364","5,783",581,"4,624","2,819",570,264,629,86,17,6,"15,373",70,216,137,172,381,508,645,519,"12,725","11,202","7,494","1,828","1,063",817,"11,202","2,999","4,729","2,651",823,"11,202","8,276",153,"2,606",-,-,33,-,82,52,"11,202",114,197,181,"11,202","10,770",257,175,"3,992",705,787,668,773,746,282,31,-,-,"$136,100","$142,833","3,992","2,845",819,"$1,228","1,147",254,$457,"7,210","7,056",154,$826,$864,"3,821","4,102"
0,63120,41,"4,685","3,006","1,440","1,566",2.63,2.93,"1,679",139,112,25,"1,579",8.8,"1,678",6.7,"3,790","4,596","4,685","3,239","3,153",86,533,516,223,74,100,-,-,-,"4,685",11,194,50,183,173,287,848,810,"2,129","3,006","1,459",446,271,830,"3,006",809,"1,505",481,211,"3,006","2,168",43,770,3,-,-,-,5,17,"3,006",51,41,126,"3,006","2,831",161,14,"1,440",772,480,69,46,17,14,-,18,24,"$46,800","$215,735","1,440",631,305,$945,809,138,$361,"1,566","1,460",106,$740,$791,"1,034",693
0,63123,9,"23,721","22,604","16,341","6,263",2.34,2.02,"1,117",187,298,147,"16,528",1.1,"6,561",4.5,"38,278","12,676","23,721","18,784","18,185",599,440,"1,745","1,230",605,855,62,-,3,"23,721",386,421,"1,814","1,224","2,534","4,885","8,469","2,385","1,603","22,604","9,191","5,608","3,317","4,488","22,604","1,014","8,871","9,281","3,438","22,604","18,746",174,"3,453",17,11,166,-,14,23,"22,604",43,128,334,"22,604","22,501",75,28,"16,341",369,"1,528","6,908","4,380","2,080",867,159,33,17,"$146,000","$165,746","16,341","10,557","2,450","$1,194","5,784",592,$474,"6,263","5,954",309,$833,$917,"2,333","3,793"
0,63136,25,"22,721","18,208","8,225","9,983",2.43,2.53,"4,513",205,709,40,"8,430",2.4,"10,692",6.6,"19,965","25,230","22,721","17,913","17,254",659,275,"1,211","1,788",588,906,40,-,2,"22,721",300,884,385,692,"2,364","5,120","7,389","3,027","2,560","18,208","9,306","3,303","2,383","3,216","18,208","3,730","8,672","4,517","1,289","18,208","15,138",154,"2,799",7,-,24,-,17,69,"18,208",45,33,324,"18,208","17,860",223,125,"8,225","2,358","4,295","1,085",304,71,63,44,-,5,"$67,400","$78,504","8,225","5,004","2,028","$1,064","3,221",468,$403,"9,983","9,733",250,$871,$876,"6,258","6,503"
0,63137,5,"8,661","7,129","3,704","3,425",2.53,2.97,"1,532",178,262,14,"3,882",4.6,"3,687",7.1,"9,363","10,189","8,661","7,497","7,418",79,296,363,215,110,180,-,-,-,"8,661",10,57,83,225,867,"1,466","4,563",759,631,"7,129","3,228","1,684","1,252",965,"7,129","1,161","2,922","1,913","1,133","7,129","6,314",78,719,6,-,12,-,-,-,"7,129",15,26,119,"7,129","7,016",113,-,"3,704","1,042","2,235",226,146,35,-,11,-,9,"$61,300","$90,531","3,704","2,662",757,"$1,012","1,042",181,$366,"3,425","3,224",201,$988,$966,"1,890","2,634"
0,63139,88,"12,456","11,088","6,549","4,539",2.10,1.74,"1,368",220,209,117,"6,769",3.3,"4,748",4.4,"13,721","7,896","12,456","8,342","7,898",444,"1,159","1,808",447,175,478,47,-,4,"12,456",49,283,300,345,467,"1,124","2,164","1,684","6,040","11,088","5,505","2,650","1,289","1,644","11,088",761,"5,101","4,139","1,087","11,088","9,018",177,"1,787",-,11,20,-,33,42,"11,088",21,34,359,"11,088","11,030",27,31,"6,549",263,904,"2,265","1,843",930,282,57,5,-,"$146,400","$154,356","6,549","4,675",950,"$1,238","1,874",333,$433,"4,539","4,390",149,$793,$859,"1,393","2,560"
0,63147,126,"4,932","3,804","2,123","1,681",2.60,2.13,"1,128",50,66,19,"2,173",2.3,"1,747",3.8,"5,522","3,582","4,932","3,674","3,580",94,307,318,147,137,269,80,-,16,"4,932",-,59,324,129,307,356,"1,288","1,095","1,374","3,804","1,500",906,510,888,"3,804","1,030","1,613",884,277,"3,804","2,967",46,791,-,-,-,-,-,-,"3,804",55,64,65,"3,804","3,698",78,28,"2,123",604,"1,224",167,56,8,45,1,3,15,"$63,200","$92,253","2,123","1,295",611,$865,828,113,$425,"1,681","1,631",50,$765,$760,"1,071",848
