,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,10013,258,,6.5,5.4,3.4,3.1,6.7,18.9,17.1,11.8,5.4,6.1,7.8,4.1,3.6,,,84.6,16.8,83.2,79.5,74.8,18.3,15.5,,48.9,82.8,13.2,51.1,83.6,17.8,,95.7,55.6,4.4,0.2,33.3,,2.2,4.3,59.0,5.4,0.7,36.5,0.1,2.7,,6.0,94.0,52.4,3.6,0.2,33.2,
0,10014,292,,3.9,2.0,1.9,1.7,3.9,29.1,16.9,12.4,7.1,6.2,8.8,3.6,2.5,,,92.3,8.9,91.1,90.1,86.6,18.2,14.9,,50.5,93.1,15.3,49.5,89.1,14.6,,97.2,88.9,1.1,0.1,5.7,,1.4,2.8,91.6,1.7,0.7,7.6,,1.7,,6.7,93.3,83.9,1.0,,5.6,
0,10016,675,,3.7,1.7,1.4,1.9,10.5,34.0,12.2,10.2,5.6,4.2,7.9,4.3,2.4,,,93.2,7.3,92.7,90.3,80.7,16.9,14.5,,47.3,93.7,13.1,52.7,91.8,15.9,,96.7,71.9,3.8,0.1,19.3,,1.5,3.3,73.8,5.4,0.4,21.5,,2.2,,6.9,93.1,66.3,3.5,0.1,19.1,
0,10017,140,,3.1,1.2,1.7,1.9,6.0,27.4,14.8,11.9,5.3,5.5,14.3,5.5,1.5,,,94.1,7.4,92.6,91.6,86.2,24.7,21.3,,45.1,93.4,18.2,54.9,92.0,23.8,,98.0,73.9,2.3,,21.2,,0.5,2.0,75.9,3.0,0.1,22.8,,0.5,,5.9,94.1,68.5,2.2,,21.2,
0,10018,202,,3.4,1.6,1.1,1.1,8.7,40.2,19.9,9.4,4.2,3.1,4.3,1.8,1.1,,,93.9,6.3,93.7,91.7,84.1,8.7,7.3,,53.1,96.0,5.1,46.9,91.0,9.7,,96.4,59.8,4.8,,29.9,,1.9,3.6,62.2,5.8,0.1,32.7,0.7,2.1,,15.2,84.8,47.6,4.5,,29.6,
0,10019,589,,2.8,1.7,1.4,2.0,6.2,27.5,16.7,13.9,6.6,5.6,9.9,3.9,1.7,,,94.0,7.1,92.9,91.0,85.7,19.5,15.5,,51.3,94.5,12.6,48.7,91.1,18.6,,96.6,67.9,5.8,0.8,17.4,0.2,4.5,3.4,70.4,7.2,1.3,19.1,0.2,5.5,,16.8,83.2,56.7,5.3,0.2,17.3,0.1
0,10021,549,,6.2,5.0,3.8,2.1,1.9,20.2,15.5,11.9,6.7,4.6,11.3,8.0,2.9,,,85.0,16.1,83.9,82.7,81.0,24.6,22.2,,45.5,81.6,21.4,54.5,85.8,22.8,,97.5,82.3,0.9,0.3,9.4,0.1,4.5,2.5,84.3,1.5,0.6,11.2,0.2,4.8,,7.9,92.1,79.3,0.6,0.3,9.4,0.1
0,10022,336,,3.5,2.7,1.8,2.0,3.1,20.3,14.4,10.6,6.3,6.8,14.4,9.8,4.4,,,91.9,8.9,91.1,89.6,86.9,31.4,28.5,,45.3,89.7,27.4,54.7,92.3,29.5,,98.0,83.6,1.4,0.2,12.2,,0.5,2.0,85.1,2.4,0.4,13.9,,0.8,,5.4,94.6,78.8,1.2,0.2,12.2,
0,10023,554,,5.6,3.4,3.2,2.9,3.6,18.5,15.6,12.4,6.7,5.7,13.0,5.8,3.7,,,87.8,13.6,86.4,84.3,81.2,25.3,22.5,,43.5,85.2,21.0,56.5,87.2,23.6,,97.9,79.8,4.2,0.1,10.6,,3.3,2.1,81.5,4.9,0.3,12.1,,3.4,,10.5,89.5,72.5,3.8,0.1,10.6,
0,10024,678,,6.1,4.7,4.2,2.8,2.3,17.3,15.2,14.9,6.4,6.7,11.4,4.8,3.3,,,85.0,17.1,82.9,81.7,79.9,22.8,19.5,,45.1,80.7,17.2,54.9,84.6,21.3,,97.2,83.1,3.9,0.3,7.2,,2.7,2.8,85.2,4.7,1.0,8.5,0.6,3.2,,10.9,89.1,76.8,2.9,,7.2,
