,zipcode,covid_cases,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,77012,54,"7,042","5,997","2,387","3,610",3.60,2.98,"1,045",66,141,19,"2,453",2.7,"3,751",3.8,"8,586","10,756","7,042","4,354","4,211",143,244,330,363,687,976,88,-,12,"7,042",52,263,389,267,829,"1,123","1,582","1,347","1,190","5,997","2,763","1,530",769,935,"5,997",654,"2,490","1,893",960,"5,997","2,117",21,"3,794",-,-,-,-,-,65,"5,997",94,89,247,"5,997","5,223",546,228,"2,387",294,"1,431",466,93,59,9,35,-,-,"$76,700","$93,459","2,387","1,015",274,"$1,103","1,372",257,$380,"3,610","3,459",151,$736,$782,"1,603","1,578"
0,77013,46,"6,548","5,937","2,280","3,657",3.60,3.04,611,-,283,-,"2,280",-,"3,940",7.2,"8,213","11,130","6,548","2,849","2,375",474,94,283,648,"1,713",768,193,-,29,"6,548",152,331,628,893,"2,306","1,100",943,146,49,"5,937","3,584","1,069",709,575,"5,937",381,"2,175","2,109","1,272","5,937","1,897",93,"3,947",-,-,-,-,-,-,"5,937",11,13,352,"5,937","4,957",709,271,"2,280",289,"1,209",523,232,20,7,-,-,-,"$87,800","$90,617","2,280","1,025",348,"$1,144","1,255",78,$452,"3,657","3,602",55,$910,$922,"1,850","2,715"
0,77014,96,"12,797","11,583","4,940","6,643",3.66,2.75,"1,214",28,779,-,"4,968",0.6,"7,422",10.5,"18,099","18,260","12,797","6,090","5,499",591,79,421,"1,128","2,837","1,643",599,-,47,"12,797",610,"3,564","3,269","3,294","1,715",222,-,91,32,"11,583","6,843","3,405","1,191",144,"11,583","1,110","4,386","3,882","2,205","11,583","4,819",89,"6,618",33,-,-,-,-,24,"11,583",210,65,206,"11,583","10,695",616,272,"4,940",341,604,"2,062","1,338",569,10,16,-,-,"$139,200","$136,432","4,940","3,687","1,276","$1,437","1,253",181,$630,"6,643","6,591",52,$969,"$1,008","3,738","5,248"
0,77015,134,"19,131","17,306","9,056","8,250",3.54,2.92,"1,825",252,567,-,"9,308",2.7,"8,817",6.4,"32,020","24,123","19,131","11,059","9,788","1,271",231,830,"1,405","2,205","1,152","2,239",10,117,"19,131",248,"1,004","2,831","4,986","4,477","2,052","2,641",732,160,"17,306","8,849","4,381","2,309","1,767","17,306",952,"6,218","6,077","4,059","17,306","6,180",112,"10,892",-,-,-,23,-,99,"17,306",103,157,743,"17,306","15,122","1,724",460,"9,056",958,"3,424","3,078","1,148",302,91,38,17,-,"$102,000","$107,940","9,056","4,993","1,631","$1,183","4,063",539,$456,"8,250","8,129",121,$890,$936,"3,925","5,947"
0,77016,97,"11,019","9,741","6,017","3,724",3.21,2.90,"1,278",112,292,12,"6,129",1.8,"4,016",7.3,"19,342","10,790","11,019","9,537","9,331",206,196,347,321,267,79,255,17,23,"11,019",39,407,184,730,"2,192","3,478","2,663","1,059",267,"9,741","3,301","1,914","1,236","3,290","9,741",984,"3,824","3,210","1,723","9,741","4,709",47,"4,941",-,-,-,6,12,26,"9,741",56,65,225,"9,741","8,978",686,77,"6,017","1,519","3,695",533,206,23,36,5,-,-,"$65,700","$69,841","6,017","2,099",811,"$1,000","3,918",487,$346,"3,724","3,164",560,$846,$862,"1,872","2,163"
0,77017,82,"11,145","9,953","5,254","4,699",3.58,2.95,"1,192",-,373,98,"5,254",-,"5,072",7.4,"18,829","13,865","11,145","7,229","6,922",307,242,243,432,883,"2,078",38,-,3,"11,145",269,"1,350",525,973,"1,275","1,500","3,359","1,318",576,"9,953","4,845","2,312","1,434","1,362","9,953",956,"2,993","3,597","2,407","9,953","5,095",56,"4,728",-,-,-,-,-,74,"9,953",17,41,202,"9,953","8,874",851,228,"5,254",305,"2,544","1,752",323,215,85,30,-,-,"$96,000","$106,142","5,254","2,509",805,"$1,174","2,745",386,$492,"4,699","4,571",128,$848,$883,"1,888","2,890"
0,77018,52,"12,295","11,067","7,683","3,384",2.62,2.27,"1,228",143,550,12,"7,826",1.8,"3,934",14.0,"20,160","7,666","12,295","9,569","9,356",213,60,127,289,695,"1,235",308,12,25,"12,295","1,158",917,208,333,"1,413","2,573","3,555","1,646",492,"11,067","5,579","2,481","1,204","1,803","11,067",807,"3,442","5,227","1,591","11,067","6,904",35,"4,094",-,-,-,-,25,9,"11,067",211,171,340,"11,067","10,575",347,145,"7,683",320,184,191,269,"1,475","3,181","1,923",140,-,"$379,000","$400,913","7,683","4,656",978,"$2,375","3,027",518,$684,"3,384","3,231",153,$867,"$1,079","1,599","1,976"
0,77019,49,"12,044","10,935","5,643","5,292",2.13,1.74,"1,109",129,438,65,"5,772",2.2,"5,730",7.6,"12,032","9,205","12,044","5,974","4,066","1,908",247,513,475,518,"4,306",11,-,1,"12,044","2,237","3,610","1,913",833,801,484,493,532,"1,141","10,935","7,096","2,655",785,399,"10,935",462,"5,106","4,092","1,275","10,935","4,178",89,"6,585",-,-,-,-,-,83,"10,935",9,24,195,"10,935","10,796",89,50,"5,643",83,116,98,188,793,"1,287","1,449",842,787,"$560,000","$1,040,058","5,643","3,287",949,"$2,948","2,356",404,"$1,454","5,292","5,138",154,"$1,659","$1,682","1,524","4,074"
0,77020,76,"9,687","8,454","3,827","4,627",3.26,2.85,"1,233",46,93,69,"3,873",1.2,"4,720",2.0,"12,486","13,187","9,687","7,520","7,209",311,317,506,250,349,704,41,-,4,"9,687",563,727,896,410,561,"1,056","2,051","2,000","1,423","8,454","4,366","1,702",922,"1,464","8,454","1,357","3,181","2,836","1,080","8,454","3,322",13,"4,971",-,-,-,-,9,139,"8,454",126,262,237,"8,454","7,833",456,165,"3,827",506,"2,143",556,200,251,138,24,9,-,"$77,900","$104,296","3,827","1,451",608,"$1,024","2,376",292,$343,"4,627","4,429",198,$698,$727,"2,531","1,745"
0,77021,125,"12,549","10,904","4,227","6,677",2.60,2.30,"1,645",51,526,26,"4,278",1.2,"7,203",7.3,"10,981","15,341","12,549","7,283","6,946",337,281,241,912,"1,104","2,653",42,33,3,"12,549",614,"2,490","1,058",405,"1,025","1,593","3,084","1,850",430,"10,904","6,105","1,922",766,"2,111","10,904","1,778","4,868","2,806","1,452","10,904","4,399",83,"6,328",-,7,-,-,-,87,"10,904",14,182,237,"10,904","10,527",241,136,"4,227",622,"1,587",469,494,423,325,258,49,-,"$94,400","$167,432","4,227","1,657",519,"$1,335","2,570",243,$378,"6,677","6,325",352,$896,$965,"3,316","4,052"
