,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,77014,96,"36,455","2,894","3,276","2,778","2,951","3,197","5,906","5,056","4,725","1,984","1,351","1,398",689,250,30.7,-,"27,507","10,993","25,462","24,069","21,359","3,091","2,337","36,455","18,105","12,049","1,024","18,350","13,413","1,313","36,455","35,834","10,620","17,238",32,"3,464",279,"4,201",621,"11,188","17,581",32,"3,546",295,"4,467","36,455","13,208","23,247","2,050","17,058",-,"3,464",279
0,77015,134,"56,155","4,726","4,353","5,571","5,025","4,328","8,405","7,179","6,711","3,304","2,313","2,813","1,181",246,30.1,-,"41,505","17,766","38,389","35,483","32,152","5,496","4,240","56,155","28,609","19,328","1,977","27,546","19,061","2,263","56,155","55,374","41,239","9,529",475,"1,100",13,"3,018",781,"41,812","10,033",602,"1,229",60,"3,273","56,155","38,230","17,925","6,951","9,456",91,"1,100",8
0,77016,97,"30,184","2,154","1,900","2,423","1,858","2,574","3,211","4,049","3,460","1,952","1,830","2,895","1,600",278,37.5,-,"23,707","7,634","22,550","21,164","19,275","5,727","4,773","30,184","14,833","10,840","2,021","15,351","11,710","2,752","30,184","30,028","10,672","18,385",83,104,34,750,156,"10,807","18,503",104,109,37,780,"30,184","11,281","18,903",413,"18,320",7,104,-
0,77017,82,"32,720","2,400","2,059","2,427","2,664","2,715","5,327","4,440","3,741","2,371","1,609","1,912",782,273,32.4,-,"25,834","8,427","24,293","22,598","20,455","3,759","2,967","32,720","16,721","12,338","1,405","15,999","11,955","1,562","32,720","32,415","21,462","1,141",116,974,20,"8,702",305,"21,754","1,325",194,987,21,"8,783","32,720","28,090","4,630","2,368","1,082",63,964,-
0,77018,52,"28,235","2,723","2,004","1,351","1,138","1,007","4,282","4,921","3,593","1,904","1,620","1,976","1,010",706,38.1,-,"22,157","6,834","21,401","20,918","20,012","4,598","3,692","28,235","14,352","10,747","1,615","13,883","10,654","2,077","28,235","27,765","23,027","1,848",47,563,-,"2,280",470,"23,415","1,961",229,734,9,"2,357","28,235","10,061","18,174","15,437","1,797",-,547,-
0,77019,49,"21,319",726,701,744,950,"1,528","4,977","2,755","2,992","1,244","1,674","2,036",707,285,38.6,-,"19,148","2,785","18,534","18,122","16,670","4,027","3,028","21,319","10,427","9,068","1,285","10,892","9,466","1,743","21,319","21,001","16,788","1,362",113,"2,076",-,662,318,"17,079","1,470",142,"2,219",-,727,"21,319","2,571","18,748","14,828","1,340",76,"2,034",-
0,77020,76,"25,749","2,156","1,793","2,126","1,606","2,160","3,861","3,315","3,321","1,604","1,465","1,406",667,269,32.8,-,"19,674","7,182","18,567","17,545","15,908","3,124","2,342","25,749","13,449","9,316",985,"12,300","9,251","1,357","25,749","25,025","14,740","6,187",152,72,-,"3,874",724,"15,077","6,658",455,198,14,"4,141","25,749","18,873","6,876",777,"5,895",26,64,-
0,77021,125,"26,655","1,474","1,665","1,551","1,893","2,518","4,472","3,089","3,406","1,197","1,471","1,990","1,367",562,34.0,-,"21,965","5,861","20,794","19,594","17,554","4,729","3,919","26,655","12,200","9,509","1,564","14,455","11,285","2,355","26,655","26,469","5,384","19,717",96,851,29,392,186,"5,520","19,866",111,888,41,431,"26,655","3,687","22,968","2,603","19,353",20,847,29
0,77022,60,"28,277","2,005","2,059","2,412","1,891","2,002","4,407","3,036","3,700","1,888","1,414","2,077","1,041",345,33.7,-,"21,801","7,772","20,505","19,589","17,908","4,316","3,463","28,277","14,417","10,572","1,505","13,860","9,933","1,958","28,277","28,042","19,812","5,451",67,159,7,"2,546",235,"20,009","5,486",187,209,18,"2,639","28,277","21,229","7,048","1,463","5,382",28,144,7
0,77023,102,"29,074","2,067","1,936","2,344","1,879","2,323","4,593","4,316","3,724","1,528","1,390","1,998",772,204,33.9,-,"22,727","7,589","21,485","20,298","18,525","3,769","2,974","29,074","14,367","11,069","1,270","14,707","10,416","1,704","29,074","28,734","22,894",912,56,280,-,"4,592",340,"23,196",957,113,375,14,"4,815","29,074","24,851","4,223","3,057",790,5,270,-
