,zipcode,covid_cases,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,60622,568.0,"25,759","23,410","8,767","14,643",2.44,2.12,"2,349",123,689,243,"8,890",1.4,"15,332",4.5,"21,353","31,024","25,759","3,467","2,842",625,"3,451","9,971","6,126",963,"1,712",61,8,2,"25,759",749,"3,921","2,090",954,903,810,818,818,"14,696","23,410","16,235","4,501","1,212","1,462","23,410","5,044","11,885","5,532",949,"23,410","20,784",300,"2,141",25,-,-,3,48,109,"23,410",95,169,469,"23,410","23,018",262,130,"8,767",130,45,116,116,953,"3,287","3,487",515,118,"$483,900","$554,321","8,767","7,101","1,775","$2,702","1,666",343,"$1,121","14,643","14,194",449,"$1,472","$1,549","4,785","11,246"
0,60640,713.0,"38,140","34,969","11,066","23,903",2.01,1.88,"3,171",100,"1,727",133,"11,166",0.9,"25,630",6.7,"22,287","44,844","38,140","2,775","2,125",650,"1,801","3,509","7,808","3,105","19,091",51,-,1,"38,140",732,"1,712","1,634","1,675","3,497","2,992","2,692","3,854","19,352","34,969","22,631","7,593","2,870","1,875","34,969","13,314","15,960","4,932",763,"34,969","25,762",692,"7,010",105,6,-,20,425,949,"34,969",145,427,"1,261","34,969","33,599",539,831,"11,066",247,401,780,"1,248","3,099","3,324","1,490",472,5,"$292,500","$357,324","11,066","8,453","2,053","$2,064","2,613",660,$859,"23,903","23,440",463,"$1,006","$1,086","10,894","17,095"
0,60647,1165.0,"38,659","34,714","13,301","21,413",2.66,2.41,"3,945",152,897,435,"13,453",1.1,"22,310",4.0,"35,431","51,532","38,659","6,543","5,500","1,043","8,439","10,006","6,175","2,576","4,754",93,73,2,"38,659","1,063","2,982","1,640",875,"1,338","1,384","1,719","1,348","26,310","34,714","21,891","7,099","3,121","2,603","34,714","7,309","17,290","8,246","1,869","34,714","31,121",415,"2,734",12,12,11,-,178,231,"34,714",195,262,"1,018","34,714","33,776",625,313,"13,301",191,119,332,871,"2,608","5,308","3,231",582,59,"$378,000","$434,924","13,301","10,626","3,529","$2,320","2,675",658,$857,"21,413","21,000",413,"$1,228","$1,319","8,504","17,030"
0,60657,306.0,"39,888","36,624","14,252","22,372",2.18,1.73,"3,264",377,"1,095",450,"14,629",2.6,"23,467",4.7,"31,057","38,622","39,888","4,836","3,412","1,424","2,135","6,247","5,118","2,437","19,078",37,-,1,"39,888",897,"3,622","2,804","2,063","3,810","5,732","4,141","1,764","15,055","36,624","26,035","6,402","2,169","2,018","36,624","13,034","17,058","5,620",912,"36,624","26,426",753,"7,451",196,35,23,7,915,818,"36,624",72,172,"1,002","36,624","36,078",109,437,"14,252",149,133,451,854,"2,282","4,479","4,398","1,162",344,"$439,200","$568,725","14,252","10,985","2,225","$2,785","3,267",763,"$1,171","22,372","21,885",487,"$1,477","$1,595","7,911","18,645"
0,60644,1023.0,"19,286","16,339","4,538","11,801",3.24,2.72,"2,947",147,867,59,"4,685",3.1,"12,668",6.8,"14,703","32,045","19,286","3,494","3,097",397,"5,744","3,720","2,997",895,"2,358",56,22,3,"19,286",164,582,373,407,598,"1,401","1,905","1,799","12,057","16,339","8,868","3,316","1,301","2,854","16,339","6,929","6,283","2,399",728,"16,339","14,536",75,"1,548",29,-,-,-,27,124,"16,339",94,75,333,"16,339","15,528",557,254,"4,538",267,855,"1,051","1,020",879,318,96,27,25,"$155,300","$179,961","4,538","2,809","1,426","$1,604","1,729",451,$603,"11,801","11,603",198,$936,$931,"7,364","8,338"
0,60631,267.0,"12,694","11,921","9,041","2,880",2.68,1.64,773,118,98,33,"9,159",1.3,"2,978",3.3,"24,266","4,736","12,694","8,305","8,085",220,506,469,"1,368",475,"1,571",-,-,-,"12,694",51,334,399,416,"1,421","1,877","3,483","1,741","2,972","11,921","4,318","2,645","2,109","2,849","11,921","1,429","3,951","4,610","1,931","11,921","10,820",82,754,11,-,-,-,76,178,"11,921",45,78,171,"11,921","11,876",37,8,"9,041",139,179,491,683,"1,723","4,607","1,167",36,16,"$344,600","$344,530","9,041","5,700","1,113","$2,217","3,341",553,$720,"2,880","2,715",165,"$1,180","$1,236","1,249","2,424"
0,60643,643.0,"19,855","17,934","13,410","4,524",2.82,2.58,"1,921",401,246,52,"13,811",2.9,"4,770",5.2,"37,817","11,662","19,855","15,792","15,127",665,"1,013",752,949,471,829,49,-,2,"19,855",66,561,582,331,"1,484","3,002","4,133","2,527","7,169","17,934","5,059","3,995","2,848","6,032","17,934","1,925","8,052","5,747","2,210","17,934","16,882",138,737,8,-,-,-,53,116,"17,934",108,115,307,"17,934","17,790",124,20,"13,410",410,"1,781","2,679","1,992","2,610","3,112",611,152,63,"$195,200","$262,581","13,410","8,850","2,995","$1,708","4,560",865,$641,"4,524","4,163",361,"$1,008","$1,137","2,089","3,223"
0,60625,1184.0,"32,584","29,527","11,726","17,801",2.64,2.58,"3,057",111,"1,192",183,"11,837",0.9,"18,993",6.3,"30,899","46,008","32,584","5,521","5,016",505,"5,742","7,290","6,633","3,360","4,016",22,-,1,"32,584",257,"1,886",407,870,"1,572","1,940","3,230","2,142","20,280","29,527","17,197","6,616","2,988","2,726","29,527","5,939","14,923","7,022","1,643","29,527","25,808",514,"2,375",55,-,-,-,336,439,"29,527",68,209,921,"29,527","28,019",867,641,"11,726",240,256,675,"1,377","2,470","3,745","2,586",310,67,"$336,100","$393,083","11,726","8,197","2,713","$2,217","3,529","1,075",$846,"17,801","17,553",248,"$1,155","$1,210","7,640","15,566"
0,60615,345.0,"24,009","21,122","6,317","14,805",2.13,1.85,"2,887",263,"1,379",100,"6,580",4.0,"16,184",8.5,"13,460","27,346","24,009","2,780","1,342","1,438",566,"2,380","4,586","1,569","12,062",32,34,1,"24,009",596,"1,079","1,579","1,523","3,038","2,695","1,992","1,323","10,184","21,122","13,138","4,529","1,682","1,773","21,122","7,868","9,934","2,765",555,"21,122","14,631",359,"4,694",112,25,13,4,382,902,"21,122",62,182,598,"21,122","20,840",132,150,"6,317",275,629,925,940,"1,225","1,323",733,202,65,"$238,500","$325,346","6,317","3,929","1,162","$2,054","2,388",633,$891,"14,805","14,609",196,"$1,107","$1,146","8,225","11,147"
0,60604,18.0,599,479,170,309,1.86,1.50,120,-,-,94,170,-,309,-,317,465,599,-,-,-,-,-,7,-,592,-,-,-,599,16,8,-,-,-,7,-,-,568,479,371,99,9,-,479,245,189,45,-,479,230,-,221,-,-,-,-,16,12,479,-,-,-,479,450,13,16,170,6,-,-,-,10,78,46,25,5,"$480,000","$870,388",170,86,34,"$3,139",84,7,"$1,450",309,303,6,"$2,015","$2,144",53,233
