,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,60622,568.0,,6.7,3.8,2.8,3.0,6.3,38.9,17.9,8.6,3.2,2.8,3.4,1.6,0.8,,,86.7,15.3,84.7,83.1,77.3,7.7,5.9,,51.6,84.8,5.7,48.4,84.6,6.1,,96.1,78.4,6.7,0.1,4.6,,6.3,3.9,81.6,8.1,0.4,6.4,0.2,7.4,,21.9,78.1,64.7,6.1,0.1,4.3,
0,60640,713.0,,4.7,4.1,3.3,2.5,6.5,24.2,17.0,14.0,5.9,4.8,6.9,4.0,2.1,,,87.9,13.7,86.3,84.6,78.9,15.7,12.9,,51.1,86.2,10.2,48.9,86.4,15.7,,96.8,64.3,17.0,0.5,11.0,,4.0,3.2,67.1,18.1,1.3,12.6,0.2,4.3,,14.3,85.7,55.3,16.6,0.3,10.9,
0,60647,1165.0,,6.8,4.6,4.4,4.5,7.8,30.2,16.4,10.7,4.3,3.3,4.6,2.0,0.6,,,84.2,18.6,81.4,78.9,71.9,9.0,7.1,,50.7,80.6,6.2,49.3,82.1,8.0,,96.2,76.7,6.5,0.3,3.2,,9.3,3.8,80.1,8.2,0.9,4.6,0.1,10.3,,44.8,55.2,44.3,5.4,0.1,3.0,
0,60657,306.0,,5.4,2.9,2.8,1.3,11.5,36.9,14.6,9.5,3.6,3.4,4.7,2.3,0.9,,,88.8,12.0,88.0,87.0,76.0,10.0,8.0,,50.6,87.2,7.8,49.4,88.7,8.3,,96.8,86.2,2.6,0.1,7.0,0.1,0.9,3.2,89.0,3.7,0.5,8.8,0.2,1.2,,7.0,93.0,80.5,2.5,0.1,6.9,0.1
0,60644,1023.0,,7.6,8.2,6.4,6.4,8.5,14.2,11.5,12.0,6.6,5.5,7.4,4.3,1.3,,,77.8,25.9,74.1,69.6,62.9,16.0,13.0,,46.2,69.1,10.2,53.8,78.5,15.4,,98.9,4.8,89.9,0.1,0.2,0.1,3.7,1.1,5.5,90.9,0.2,0.3,0.2,4.0,,6.4,93.6,2.9,89.5,,0.2,
0,60631,267.0,,6.3,5.9,5.7,3.6,3.6,14.0,14.0,14.2,7.2,6.9,8.5,5.9,4.1,,,82.0,20.3,79.7,78.0,74.8,22.7,18.5,,48.3,77.6,16.0,51.7,81.7,20.8,,97.0,90.5,1.5,0.1,2.9,,2.0,3.0,93.2,2.1,0.3,4.8,0.1,2.6,,10.7,89.3,82.1,1.5,0.1,2.9,
0,60643,643.0,,6.3,4.4,6.9,6.8,6.6,9.4,12.0,14.6,8.1,6.7,9.5,6.3,2.5,,,82.5,22.2,77.8,74.0,69.1,22.3,18.4,,45.4,77.8,14.5,54.6,77.7,21.6,,97.3,22.2,73.5,0.1,0.4,,1.0,2.7,23.7,75.8,1.2,0.6,,1.6,,3.3,96.7,20.3,73.3,0.1,0.4,
0,60625,1184.0,,7.5,5.4,4.5,5.0,6.7,22.3,17.3,11.7,5.2,4.8,5.3,2.8,1.4,,,82.5,20.0,80.0,76.2,70.8,12.2,9.6,,50.1,79.2,8.4,49.9,80.9,10.7,,94.6,64.7,5.0,0.1,13.3,,11.6,5.4,69.0,6.9,0.7,16.1,0.3,12.9,,32.8,67.2,45.5,4.7,,12.9,
0,60615,345.0,,4.8,4.6,3.9,5.0,12.8,20.7,12.4,10.8,5.0,5.4,8.7,4.1,1.6,,,86.7,16.1,83.9,78.9,68.9,17.6,14.5,,46.1,81.8,12.2,53.9,85.8,16.5,,95.7,30.1,55.2,0.4,8.1,,1.9,4.3,33.5,57.7,1.1,9.7,0.1,2.5,,6.2,93.8,26.4,54.7,0.4,8.0,
0,60604,18.0,,1.5,,0.9,6.6,21.5,25.1,4.3,9.5,6.9,11.8,9.6,2.3,,,,97.6,4.9,95.1,86.2,69.4,22.5,11.9,,47.2,91.3,15.2,52.8,98.5,9.0,,98.7,63.4,5.6,,29.7,,,1.3,64.7,6.9,,29.7,,,,4.3,95.7,61.3,4.7,,29.7,
