,zipcode,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,10012,"14,052","12,041","2,171","9,870",2.23,1.74,"2,011",40,384,750,"2,211",1.8,"10,254",3.7,"4,851","17,155","14,052",163,112,51,89,518,"1,692","2,497","9,093",-,-,-,"14,052",64,245,434,598,655,"1,093","1,042",537,"9,384","12,041","6,817","1,697","1,276","2,251","12,041","9,978","1,838",198,27,"12,041","5,478",245,"2,876","2,560",-,-,-,445,437,"12,041",35,186,515,"12,041","11,085",221,735,"2,171",-,13,-,7,-,206,551,363,"1,031","$1,669,400","$2,142,173","2,171",943,210,"$3,843","1,228",171,$971,"9,870","9,781",89,"$2,280","$2,232","3,847","4,682"
0,10013,"14,144","11,986","3,138","8,848",2.48,2.15,"2,158",80,456,909,"3,218",2.5,"9,304",4.9,"7,782","19,000","14,144",222,155,67,171,851,"2,166","2,361","8,373",-,-,-,"14,144",280,"1,724",548,630,"1,344",430,495,338,"8,355","11,986","5,748","2,512","1,431","2,295","11,986","8,856","2,849",170,111,"11,986","5,156",301,"4,109","1,899",-,-,-,349,172,"11,986",17,96,381,"11,986","10,816",496,674,"3,138",-,8,10,6,73,116,307,412,"2,206","$2,000,001","$3,229,190","3,138","1,958",528,"$4,001","1,180",300,"$1,501","8,848","8,634",214,"$1,571","$1,856","3,751","4,239"
0,10014,"21,531","18,229","5,913","12,316",1.93,1.54,"3,302",65,691,"1,121","5,978",1.1,"13,007",5.3,"11,418","18,910","21,531","1,181",624,557,510,"1,010","1,928","3,687","13,215",-,-,-,"21,531",91,611,531,717,828,"1,656","1,205",786,"15,106","18,229","9,475","2,800","2,187","3,767","18,229","14,300","3,389",398,142,"18,229","8,794",701,"3,328","4,562",-,-,11,263,570,"18,229",20,78,127,"18,229","17,839",178,212,"5,913",31,39,159,-,94,604,"1,697","1,609","1,680","$1,089,100","$1,797,782","5,913","3,240",755,"$3,219","2,673",646,"$1,231","12,316","12,079",237,"$2,313","$2,318","4,788","5,791"
0,10016,"34,638","28,916","8,319","20,597",1.68,1.72,"5,722",160,"1,665","2,136","8,479",1.9,"22,262",7.5,"14,016","35,383","34,638",468,275,193,165,665,"1,740","1,494","30,087",19,-,1,"34,638",751,"2,371","1,753","4,831","3,938","6,636","3,882","1,907","8,569","28,916","16,381","6,433","2,385","3,717","28,916","23,908","4,362",539,107,"28,916","10,804",428,"11,739","4,085",-,-,-,818,"1,042","28,916",60,291,629,"28,916","27,855",319,742,"8,319",50,10,73,56,178,"1,351","3,456","2,190",955,"$775,800","$1,001,786","8,319","4,559","1,435","$2,982","3,760",796,"$1,426","20,597","20,229",368,"$2,550","$2,464","9,017","7,663"
0,10017,"12,650","9,905","4,320","5,585",1.63,1.53,"2,745",204,536,"1,118","4,524",4.5,"6,121",8.8,"7,036","8,555","12,650",366,195,171,8,13,264,487,"11,512",-,-,-,"12,650",78,799,340,"1,978",449,"2,206",934,526,"5,340","9,905","5,520","1,980","1,195","1,210","9,905","7,998","1,700",184,23,"9,905","3,654",110,"3,534","1,753",-,-,-,480,374,"9,905",-,280,199,"9,905","9,396",86,423,"4,320",-,-,51,96,449,989,"1,611",586,538,"$637,300","$1,049,228","4,320","1,890",460,"$2,550","2,430",452,$887,"5,585","5,535",50,"$2,309","$2,356","2,430","3,124"
0,10018,"5,940","5,095",462,"4,633",1.97,1.88,845,-,280,389,462,-,"4,913",5.7,910,"8,692","5,940",82,74,8,71,101,444,582,"4,660",-,-,-,"5,940","1,441","2,067",256,209,123,120,160,113,"1,451","5,095","4,099",637,180,179,"5,095","4,245",740,88,22,"5,095","1,529",39,"2,922",387,-,-,-,87,131,"5,095",34,49,136,"5,095","4,761",40,294,462,8,4,-,30,4,32,211,92,81,"$743,600","$1,116,475",462,246,69,"$2,635",216,13,$729,"4,633","4,560",73,"$3,163","$2,780","1,867","1,143"
0,10019,"33,077","25,428","5,064","20,364",1.72,1.69,"7,649",170,"1,747","4,453","5,234",3.2,"22,111",7.9,"8,725","34,487","33,077",475,325,150,252,402,"1,132","2,946","27,795",38,37,1,"33,077","1,590","4,107","2,412","3,555","3,402","3,759","1,767","1,996","10,489","25,428","14,064","5,250","2,942","3,172","25,428","21,215","3,716",266,231,"25,428","9,942",247,"8,128","5,715",30,-,-,570,796,"25,428",333,774,660,"25,428","24,048",389,991,"5,064",57,47,76,77,136,707,"1,710","1,305",949,"$917,700","$1,387,269","5,064","2,081",550,"$3,333","2,983",945,"$1,501","20,364","19,792",572,"$2,139","$2,152","8,030","8,776"
0,10021,"30,729","24,996","11,252","13,744",1.95,1.72,"5,733",318,595,"3,640","11,570",2.7,"14,339",4.1,"21,924","23,704","30,729",665,366,299,518,271,"1,210","3,462","24,603",-,-,-,"30,729",217,"1,311","1,322","2,499","2,721","8,152","4,008","2,045","8,454","24,996","12,273","5,027","3,364","4,332","24,996","17,540","6,573",751,132,"24,996","11,526",354,"6,119","5,032",-,15,-,"1,077",873,"24,996",132,117,628,"24,996","24,199",495,302,"11,252",96,78,117,-,55,718,"3,772","2,861","3,555","$1,238,500","$1,893,131","11,252","5,266","1,707","$3,015","5,986",994,"$1,492","13,744","13,289",455,"$2,149","$2,285","5,624","8,673"
0,10022,"24,206","18,049","9,454","8,595",1.71,1.66,"6,157",302,596,"4,752","9,756",3.1,"9,191",6.5,"16,199","14,278","24,206",477,433,44,115,320,941,"1,234","21,079",12,28,-,"24,206",145,"1,059",455,"2,050","3,151","4,462","4,704","1,345","6,835","18,049","8,823","4,107","2,405","2,714","18,049","13,174","4,036",771,68,"18,049","7,504",498,"5,190","3,385",-,41,-,848,583,"18,049",24,163,430,"18,049","17,683",185,181,"9,454",83,14,49,12,52,"1,202","3,821","2,313","1,908","$928,400","$1,456,014","9,454","3,636","1,213","$3,141","5,818",848,$992,"8,595","8,426",169,"$2,514","$2,431","3,505","3,822"
0,10023,"41,492","33,693","14,083","19,610",1.88,1.75,"7,799",248,"1,051","3,419","14,331",1.7,"20,661",5.1,"26,493","34,294","41,492",921,502,419,396,223,"3,170","3,077","33,705",-,-,-,"41,492",782,"2,208","2,512","2,631","2,916","5,851","2,275","1,698","20,619","33,693","16,211","7,416","4,541","5,525","33,693","23,950","8,829",758,156,"33,693","14,297",665,"6,746","8,531",-,-,35,"1,751","1,668","33,693",193,595,325,"33,693","32,629",318,746,"14,083",88,65,90,26,240,"1,396","4,323","3,575","4,280","$1,124,500","$1,866,355","14,083","7,233","1,737","$3,267","6,850","1,650","$1,198","19,610","19,156",454,"$2,321","$2,302","6,920","8,733"
