Zip	Tested	Positive Cases	Deaths
60637	3033	466	N/A
60638	3445	825	N/A
60639	6001	2285	N/A
60640	3057	630	N/A
60641	3557	958	N/A
60642	789	115	N/A
60643	3212	588	N/A
60644	3554	875	N/A
60645	3065	817	N/A
60646	1589	273	N/A
60647	3664	924	N/A
60649	3003	607	N/A
60651	3749	1162	N/A
60652	2360	647	N/A
60653	2093	398	N/A
60654	700	117	N/A
60655	1625	206	N/A
60656	1365	191	N/A
60657	2229	269	N/A
60659	1809	543	N/A
60660	1366	305	N/A
60661	318	32	N/A
60706	1534	256	N/A
60707	2632	581	N/A
60712	628	132	N/A
60714	1858	573	N/A
60803	906	184	N/A
60804	5703	2037	N/A
60805	787	184	N/A
60827	1365	262	N/A
60901	1924	357	N/A
60911	40	6	N/A
60912	23	6	N/A
60914	946	102	N/A
60915	426	40	N/A
60919	20	6	N/A
60922	96	11	N/A
60927	125	43	N/A
60928	14	7	N/A
60950	586	59	N/A
60954	307	21	N/A
60955	42	10	N/A
60958	77	18	N/A
60964	138	22	N/A
60970	168	10	N/A
61008	1061	237	N/A
61010	139	7	N/A
61012	42	9	N/A
61016	177	21	N/A
61021	697	62	N/A
61032	630	120	N/A
61054	105	6	N/A
61061	138	7	N/A
61064	65	9	N/A
61065	234	20	N/A
61068	840	117	N/A
61071	189	26	N/A
61072	227	21	N/A
61073	413	34	N/A
61080	201	26	N/A
61081	320	57	N/A
61084	39	6	N/A
61088	136	6	N/A
61101	1102	156	N/A
61102	923	143	N/A
61103	1189	146	N/A
61104	804	163	N/A
61107	1207	113	N/A
61108	1132	198	N/A
61109	983	153	N/A
61111	683	61	N/A
61114	506	62	N/A
61115	611	60	N/A
61201	758	156	N/A
61235	52	8	N/A
61240	96	9	N/A
61241	131	15	N/A
61244	513	140	N/A
61252	60	13	N/A
61254	232	8	N/A
61264	211	19	N/A
61265	945	174	N/A
61270	104	7	N/A
61275	65	9	N/A
61282	170	34	N/A
61341	250	30	N/A
61342	123	16	N/A
61350	341	16	N/A
61354	214	6	N/A
61356	182	6	N/A
61401	990	70	N/A
61410	63	6	N/A
61443	244	16	N/A
61455	467	47	N/A
61462	464	95	N/A
61469	66	6	N/A
61525	187	6	N/A
61554	914	19	N/A
61603	666	23	N/A
61604	1011	24	N/A
61605	521	16	N/A
61610	117	6	N/A
61611	577	18	N/A
61614	774	46	N/A
61615	637	21	N/A
61701	1107	41	N/A
61704	876	26	N/A
61705	336	9	N/A
61761	1029	38	N/A
61764	233	11	N/A
61801	638	25	N/A
61802	808	44	N/A
61820	732	55	N/A
61821	999	48	N/A
61822	739	31	N/A
61832	640	18	N/A
61853	400	11	N/A
61866	903	99	N/A
61874	236	11	N/A
61910	173	6	N/A
61920	546	46	N/A
61938	477	18	N/A
61953	159	11	N/A
62002	429	76	N/A
62010	105	12	N/A
62012	60	6	N/A
62018	48	6	N/A
62024	77	7	N/A
62025	513	106	N/A
62034	196	55	N/A
62035	147	18	N/A
62040	484	67	N/A
62052	80	13	N/A
62056	172	12	N/A
62060	62	17	N/A
62062	161	7	N/A
62069	73	8	N/A
62088	211	6	N/A
62090	16	9	N/A
62095	119	16	N/A
62201	74	13	N/A
62203	148	26	N/A
62204	146	33	N/A
62205	186	37	N/A
62206	329	74	N/A
62207	142	52	N/A
62208	221	46	N/A
62220	234	87	N/A
62221	320	73	N/A
62223	185	42	N/A
62226	552	103	N/A
62230	108	7	N/A
62231	276	75	N/A
62232	70	8	N/A
62233	345	89	N/A
62234	351	43	N/A
62236	124	38	N/A
62237	190	6	N/A
62239	37	11	N/A
62246	130	6	N/A
62249	126	10	N/A
62254	107	24	N/A
62257	53	8	N/A
62258	90	14	N/A
62265	232	27	N/A
62269	322	61	N/A
62272	125	44	N/A
62274	108	9	N/A
62278	118	15	N/A
62285	38	7	N/A
62286	213	30	N/A
62288	154	32	N/A
62293	63	8	N/A
62294	141	16	N/A
62295	17	7	N/A
62298	181	38	N/A
62301	1563	21	N/A
62305	151	15	N/A
62353	202	6	N/A
62441	59	6	N/A
62448	260	36	N/A
62454	121	8	N/A
62471	137	17	N/A
62521	727	92	N/A
62522	171	26	N/A
62526	392	30	N/A
62560	36	6	N/A
62565	82	10	N/A
62568	290	26	N/A
62618	469	55	N/A
62629	373	12	N/A
62650	536	27	N/A
62656	490	10	N/A
62664	93	10	N/A
62675	174	6	N/A
62681	134	6	N/A
62684	340	69	N/A
62702	1203	61	N/A
62703	1049	48	N/A
62704	1118	37	N/A
62707	214	16	N/A
62711	523	19	N/A
62801	658	50	N/A
62832	254	16	N/A
62837	270	7	N/A
62864	679	82	N/A
62882	82	9	N/A
62901	691	96	N/A
62902	101	13	N/A
62906	427	48	N/A
62907	50	12	N/A
62912	36	6	N/A
62918	221	13	N/A
62920	190	54	N/A
62948	262	8	N/A
62959	632	24	N/A
62966	440	48	N/A
62992	111	32	N/A
