,zipcode,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,60016,,6.4,4.3,5.0,5.0,4.7,16.1,12.9,12.8,8.2,7.7,8.6,5.8,2.6,,,84.4,19.0,81.0,78.8,74.6,21.3,17.0,,48.4,79.3,14.5,51.6,82.5,19.3,,98.2,66.5,3.8,0.3,24.4,0.1,3.1,1.8,68.1,4.3,0.9,25.1,0.2,3.4,,13.9,86.1,56.1,3.7,0.2,24.3,0.1
0,60018,,6.4,6.4,6.9,6.5,5.7,13.9,12.4,13.6,6.5,6.1,7.8,5.5,2.2,,,80.3,23.5,76.5,72.6,68.1,19.4,15.6,,51.0,74.8,12.7,49.0,78.3,18.6,,97.9,76.5,2.1,0.2,10.8,,8.3,2.1,78.3,2.9,0.4,12.0,0.1,8.5,,35.1,64.9,50.7,1.8,,10.7,
0,60020,,7.8,3.6,4.7,5.8,6.6,9.5,14.8,13.5,10.8,5.9,10.6,3.6,3.0,,,84.0,19.1,80.9,77.0,71.6,21.4,17.2,,45.6,82.6,16.3,54.4,79.5,17.9,,99.1,93.9,1.0,,2.2,,2.1,0.9,94.8,1.4,0.4,2.2,,2.6,,8.7,91.3,87.4,1.0,,2.2,
0,60021,,5.2,7.5,5.0,9.0,6.3,14.6,11.2,20.3,8.7,2.6,6.0,3.2,0.3,,,82.3,23.1,76.9,72.7,67.0,11.2,9.5,,48.3,71.6,7.7,51.7,81.8,11.2,,95.9,93.9,,0.3,1.3,,0.5,4.1,98.0,,0.8,3.6,,1.7,,7.7,92.3,89.5,,,1.3,
0,60022,,5.2,6.2,12.1,7.5,3.6,4.0,11.2,15.9,9.0,8.2,11.3,3.9,1.9,,,76.5,29.2,70.8,69.0,65.5,21.0,17.1,,49.5,70.7,17.3,50.5,70.9,16.9,,99.3,93.6,1.9,,3.7,,0.1,0.7,94.3,1.9,,4.5,,0.1,,5.4,94.6,89.1,1.6,,3.2,
0,60025,,5.5,7.1,7.5,6.5,3.4,9.0,12.1,14.1,7.7,7.0,11.1,6.1,2.9,,,79.9,25.2,74.8,72.9,70.0,24.1,20.0,,48.2,72.7,17.9,51.8,76.8,22.1,,98.0,82.3,1.4,0.1,13.6,,0.7,2.0,84.1,1.8,0.3,14.9,0.2,0.9,,6.6,93.4,76.5,1.4,,13.5,
0,60026,,6.5,6.8,6.4,7.3,2.5,9.9,11.3,14.0,6.2,6.8,10.2,6.7,5.4,,,80.4,25.6,74.4,72.6,70.6,26.3,22.3,,49.1,71.6,17.7,50.9,77.1,26.7,,97.7,75.9,1.6,,19.5,,0.7,2.3,77.6,1.6,0.1,21.6,0.1,1.4,,8.1,91.9,68.7,1.6,,19.5,
0,60030,,5.3,5.3,7.0,7.0,7.2,11.0,12.6,15.5,8.1,6.7,7.4,5.1,1.9,,,82.4,21.8,78.2,74.1,68.2,18.7,14.4,,49.6,77.4,12.9,50.4,78.9,15.9,,96.9,85.4,3.1,0.1,5.4,0.1,2.9,3.1,88.3,4.0,0.6,6.9,0.2,3.4,,11.4,88.6,77.2,3.0,0.1,5.4,0.1
0,60031,,4.9,7.0,7.3,7.4,7.2,11.1,13.1,15.7,7.9,6.5,7.2,3.0,1.8,,,80.8,24.0,76.0,72.1,66.3,15.5,12.0,,48.6,74.8,10.2,51.4,77.1,13.6,,95.9,72.7,7.2,0.4,13.0,,2.6,4.1,76.3,8.8,1.2,14.7,0.3,3.1,,13.0,87.0,62.8,7.0,0.3,12.9,
0,60033,,6.0,10.0,9.6,6.1,6.2,13.8,11.9,10.0,6.9,5.5,9.3,3.2,1.6,,,74.3,29.3,70.7,67.4,62.1,17.1,14.1,,49.4,72.6,13.6,50.6,68.8,14.6,,98.4,92.9,0.3,0.1,0.1,0.1,5.0,1.6,94.3,1.3,0.5,0.1,0.3,5.6,,41.0,59.0,57.6,0.3,0.1,0.1,0.1
