,zipcode,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,10305,"42,298","2,654","2,799","2,125","2,043","2,634","5,969","6,229","5,732","2,903","2,912","3,402","2,050",846,39.5,-,"34,720","8,882","33,416","32,195","30,043","8,074","6,298","42,298","20,145","15,851","2,571","22,153","17,565","3,727","42,298","41,293","31,174","2,770",189,"5,509",-,"1,651","1,005","31,951","3,239",520,"5,963",21,"1,731","42,298","6,920","35,378","26,370","2,628",90,"5,405",-
0,10306,"53,142","2,308","2,957","2,962","3,009","3,230","6,914","6,051","7,926","4,427","3,897","5,010","2,993","1,458",43.9,-,"44,915","10,001","43,141","41,352","38,676","11,697","9,461","53,142","24,906","20,366","3,880","28,236","22,775","5,581","53,142","51,790","45,560","1,775",36,"3,141",-,"1,278","1,352","46,729","2,597",153,"3,570",2,"1,629","53,142","7,815","45,327","39,656","1,651",27,"3,100",-
0,10307,"15,232",641,"1,017","1,327","1,091",988,"1,799","2,071","2,827",871,867,996,548,189,39.7,-,"12,247","3,648","11,584","10,930","10,168","2,284","1,733","15,232","7,448","5,673",777,"7,784","5,911",956,"15,232","15,143","14,284",56,19,418,-,366,89,"14,373",56,54,472,-,366,"15,232","1,399","13,833","13,293",56,19,418,-
0,10308,"30,186","1,581","1,485","1,792","1,742","1,897","3,515","4,047","4,410","2,201","2,156","3,007","1,656",697,42.9,-,"25,328","6,036","24,150","23,316","21,689","6,779","5,360","30,186","14,569","11,395","2,145","15,617","12,755","3,215","30,186","29,984","27,810",339,50,"1,520",24,241,202,"27,985",439,97,"1,548",24,295,"30,186","2,888","27,298","25,268",310,50,"1,502",-
0,10309,"33,531","2,109","2,067","1,959","1,890","1,969","4,346","4,637","4,680","2,544","2,132","3,245","1,510",443,40.5,-,"27,396","7,518","26,013","25,211","23,537","6,425","5,198","33,531","16,842","12,670","2,236","16,689","13,343","2,962","33,531","33,286","30,789",293,173,"1,206",-,825,245,"31,001",313,305,"1,292",-,885,"33,531","3,107","30,424","28,515",193,164,"1,206",-
0,10310,"23,262","1,550","1,561","1,541","1,602","1,409","2,955","3,020","3,252","1,610","1,653","1,865",964,280,38.8,-,"18,610","5,753","17,509","16,854","15,599","4,092","3,109","23,262","11,065","8,239","1,367","12,197","9,270","1,742","23,262","22,320","13,731","4,844",16,"1,459",-,"2,270",942,"14,501","5,401",199,"1,660",21,"2,543","23,262","7,351","15,911","9,676","4,387",-,"1,449",-
0,10312,"61,741","3,411","3,654","4,298","3,565","3,516","7,486","7,890","8,619","4,656","4,039","6,887","2,655","1,065",41.6,-,"50,378","13,636","48,105","46,205","43,297","12,986","10,607","61,741","29,882","22,922","4,868","31,859","25,183","5,739","61,741","60,976","56,226",793,12,"3,364",59,522,765,"56,871","1,046",77,"3,873",66,623,"61,741","6,234","55,507","50,629",749,12,"3,356",43
0,10314,"90,761","5,235","5,261","5,662","5,152","5,508","12,819","10,817","13,116","5,628","5,918","9,332","4,312","2,001",40.8,-,"74,603","19,452","71,309","68,331","63,943","19,175","15,645","90,761","43,762","33,519","6,542","46,999","37,790","9,103","90,761","88,404","66,310","3,852",109,"15,049",76,"3,008","2,357","67,954","4,427",373,"16,484",171,"3,840","90,761","13,726","77,035","56,696","3,352",52,"14,904",76
0,10451,"47,798","3,034","3,867","3,207","3,528","3,586","7,238","5,939","6,303","2,939","2,137","3,212","1,928",880,34.1,-,"37,690","12,299","35,499","33,300","30,576","7,200","6,020","47,798","22,334","15,679","2,018","25,464","19,820","4,002","47,798","45,848","5,972","19,379",107,557,96,"19,737","1,950","7,141","20,867",833,782,186,"20,446","47,798","28,236","19,562","1,264","16,912",-,557,96
0,10452,"76,078","5,322","6,110","6,605","5,939","6,311","12,182","10,461","9,664","4,242","3,090","3,904","1,550",698,31.6,-,"58,041","21,926","54,152","50,789","45,791","7,696","6,152","76,078","34,800","24,585","2,405","41,278","29,567","3,747","76,078","72,567","9,592","25,249",285,"1,107",171,"36,163","3,511","12,119","27,616",809,"1,523",333,"37,441","76,078","51,823","24,255","1,446","20,567",89,"1,027",13
0,10453,"79,606","6,825","6,561","5,489","6,160","7,073","12,875","9,575","10,847","4,292","3,193","4,508","1,753",455,30.4,-,"60,731","22,377","57,229","53,147","47,498","8,499","6,716","79,606","36,246","25,275","2,536","43,360","31,954","4,180","79,606","77,525","6,841","25,826",416,"1,044",-,"43,398","2,081","8,184","27,063",735,"1,452",84,"44,325","79,606","55,051","24,555",941,"21,817",49,"1,043",-
0,10454,"38,203","3,060","3,234","3,289","3,053","3,738","5,891","5,066","4,462","1,809","1,389","1,568","1,289",355,29.6,-,"28,620","11,390","26,813","24,542","21,829","4,026","3,212","38,203","18,469","12,947","1,442","19,734","13,866","1,770","38,203","37,106","5,040","12,109",310,184,20,"19,443","1,097","5,570","12,941",366,305,57,"20,131","38,203","25,956","12,247",888,"10,753",137,130,-
0,10455,"42,283","3,847","3,545","2,752","2,976","3,507","7,710","4,961","5,299","2,064","1,752","2,183","1,173",514,30.6,-,"32,139","12,166","30,117","28,607","25,656","4,758","3,870","42,283","20,172","13,301","1,224","22,111","16,816","2,646","42,283","41,029","5,221","12,809",352,542,156,"21,949","1,254","5,858","13,540",532,707,302,"22,632","42,283","30,372","11,911",563,"10,288",85,521,156
0,10456,"94,218","7,236","7,322","7,756","7,503","8,149","14,461","11,323","11,652","5,857","4,457","5,343","2,341",818,30.9,-,"71,904","26,967","67,251","62,809","56,252","10,974","8,502","94,218","43,844","30,465","3,169","50,374","36,786","5,333","94,218","91,192","10,146","40,069","1,311",809,130,"38,727","3,026","11,692","42,254","1,760","1,333",285,"40,110","94,218","57,971","36,247","1,133","32,331",791,783,-
0,10457,"74,554","7,155","6,210","6,043","5,583","5,936","11,370","9,789","8,879","3,989","2,846","4,220","1,987",547,29.8,-,"55,146","22,884","51,670","48,383","43,627","8,312","6,754","74,554","35,086","23,534","2,711","39,468","28,136","4,043","74,554","72,103","11,452","29,962",332,702,61,"29,594","2,451","12,576","31,654",899,907,253,"30,900","74,554","49,630","24,924","1,052","21,964",89,682,27
0,10458,"83,960","7,161","5,697","6,153","7,999","8,673","14,859","9,491","9,702","3,889","3,750","4,148","1,745",693,29.0,-,"64,949","22,749","61,211","54,556","48,277","8,761","6,586","83,960","40,415","28,851","2,729","43,545","32,360","3,857","83,960","80,492","14,887","16,690",310,"2,479",31,"46,095","3,468","16,929","18,960",692,"3,151",207,"48,010","83,960","58,563","25,397","6,995","14,617",76,"2,333",31
0,10459,"48,351","3,691","3,728","3,577","3,728","3,755","8,208","5,978","5,880","2,909","2,033","2,526","1,771",567,31.3,-,"37,355","13,157","35,194","32,858","29,872","6,050","4,864","48,351","23,004","16,168","1,701","25,347","19,026","3,163","48,351","46,886","5,615","16,650",255,377,30,"23,959","1,465","6,341","17,790",562,466,81,"24,759","48,351","32,830","15,521",791,"13,962",96,356,-
0,10460,"59,505","4,844","4,202","4,421","3,945","4,817","10,447","6,523","7,523","3,343","2,828","4,112","1,890",610,31.6,-,"46,038","15,911","43,594","41,259","37,276","8,292","6,612","59,505","27,647","19,673","2,865","31,858","23,921","3,747","59,505","57,822","9,370","18,035",168,945,106,"29,198","1,683","10,105","19,091",589,"1,140",257,"30,108","59,505","41,359","18,146","1,539","15,043",-,888,69
0,10461,"50,348","3,177","2,744","3,038","2,169","3,059","8,689","6,826","7,084","2,966","2,758","3,919","2,623","1,296",37.8,-,"41,389","10,334","40,014","38,583","36,161","9,224","7,838","50,348","24,497","19,159","2,895","25,851","20,855","4,943","50,348","48,189","24,270","4,714",250,"5,600",43,"13,312","2,159","25,658","5,908",535,"6,155",109,"14,494","50,348","23,466","26,882","16,754","3,862",79,"5,383",39
0,10462,"76,756","4,837","4,870","4,390","4,314","5,293","13,001","11,204","10,428","5,193","3,981","5,118","3,093","1,034",36.3,-,"62,659","16,816","59,940","57,302","53,052","11,651","9,245","76,756","36,091","27,529","3,668","40,665","32,411","5,577","76,756","72,715","17,796","21,705",714,"9,683",19,"22,798","4,041","20,072","23,923","1,399","11,174",277,"24,572","76,756","36,483","40,273","8,909","19,050",261,"9,627",-
0,10463,"71,360","4,927","4,427","3,653","3,197","3,998","11,085","8,745","9,185","4,046","3,982","7,270","4,338","2,507",39.8,-,"58,353","15,005","56,355","54,381","51,158","16,314","14,115","71,360","33,641","25,374","5,425","37,719","30,981","8,690","71,360","66,911","32,109","10,764",422,"2,665",51,"20,900","4,449","35,482","13,003","1,415","3,346",60,"22,918","71,360","36,472","34,888","22,584","7,980",92,"2,579",28
0,10464,"4,434",220,271,218,113,213,745,441,715,163,338,608,233,156,44.9,-,"3,725",770,"3,664","3,562","3,399","1,212",997,"4,434","2,162","1,775",474,"2,272","1,889",523,"4,434","4,256","3,495",119,-,245,-,397,178,"3,673",119,-,258,-,562,"4,434","1,117","3,317","2,966",83,-,245,-
0,10465,"44,205","2,911","2,343","2,032","2,908","2,992","5,270","5,660","6,138","3,145","3,126","3,788","2,401","1,491",41.5,-,"36,919","8,716","35,489","33,294","31,019","9,411","7,680","44,205","21,403","16,676","3,192","22,802","18,813","4,488","44,205","43,023","26,656","5,638",43,"1,373",7,"9,306","1,182","27,551","6,201",204,"1,563",19,"9,896","44,205","19,568","24,637","18,898","3,915",43,"1,254",7
0,10466,"72,479","4,427","4,261","4,521","5,157","6,056","10,167","8,949","10,412","5,098","4,341","5,044","3,015","1,031",36.6,-,"59,270","16,344","56,135","53,216","48,057","11,619","9,090","72,479","31,842","24,040","3,647","40,637","32,095","5,443","72,479","70,526","8,034","52,974",687,"2,183",42,"6,606","1,953","8,985","54,368","1,335","2,741",73,"7,156","72,479","15,971","56,508","2,074","50,054",191,"2,169",27
0,10467,"103,732","8,525","7,106","7,207","6,131","7,343","17,552","13,862","13,081","5,618","5,947","6,487","3,450","1,423",33.7,-,"80,894","26,537","77,195","73,337","67,420","14,710","11,360","103,732","49,745","36,295","4,583","53,987","40,900","6,777","103,732","99,544","23,469","36,599",666,"6,000",51,"32,759","4,188","26,216","38,921","1,202","7,034",581,"34,446","103,732","54,286","49,446","9,736","31,584",271,"5,916",-
0,10468,"78,647","7,573","5,607","5,057","4,654","6,465","13,943","9,546","10,357","4,669","2,964","4,673","2,220",919,32.2,-,"60,410","21,228","57,419","54,603","49,291","9,509","7,812","78,647","37,011","26,445","3,049","41,636","30,974","4,763","78,647","76,171","9,933","16,529",814,"2,280",8,"46,607","2,476","11,462","18,087","1,112","2,776",36,"47,753","78,647","59,588","19,059","2,323","12,763",443,"2,224",-
0,10469,"73,870","3,846","3,615","4,840","5,123","5,062","10,206","9,346","10,090","4,823","4,703","6,335","4,087","1,794",40.2,-,"61,569","15,523","58,347","55,180","51,384","15,065","12,216","73,870","34,385","26,684","4,974","39,485","31,663","7,242","73,870","71,657","13,892","40,103",579,"4,837",63,"12,183","2,213","15,083","41,477","1,074","5,139",200,"13,505","73,870","21,418","52,452","7,907","38,318",250,"4,757",-
0,10470,"15,432",995,768,741,640,907,"2,350","2,146","2,326",963,981,"1,290",933,392,40.5,-,"12,928","2,906","12,526","12,148","11,381","3,299","2,615","15,432","7,069","5,549","1,015","8,363","6,977","1,600","15,432","14,886","6,572","6,027",7,537,-,"1,743",546,"6,968","6,227",115,734,20,"1,995","15,432","3,255","12,177","5,590","5,714",-,537,-
0,10471,"21,896","1,178",905,893,"1,568","1,421","2,407","2,585","2,374","1,366","1,645","2,407","1,820","1,327",44.9,-,"18,920","3,473","18,423","16,823","15,931","6,448","5,554","21,896","10,378","8,491","2,247","11,518","9,932","3,307","21,896","21,145","15,033","2,583",38,"1,366",-,"2,125",751,"15,581","2,919",160,"1,579",43,"2,420","21,896","5,003","16,893","12,819","2,276",-,"1,262",-
0,10472,"68,796","5,404","5,460","4,874","4,802","6,022","10,791","8,466","8,785","3,255","3,274","4,280","2,529",854,32.1,-,"53,058","18,636","50,160","47,001","42,234","9,639","7,663","68,796","33,428","23,633","3,078","35,368","26,527","4,585","68,796","66,171","10,270","18,821",971,"4,581",-,"31,528","2,625","11,953","20,150","1,392","5,336",43,"32,673","68,796","44,403","24,393","1,795","16,343",234,"4,483",-
0,10473,"59,609","3,816","3,792","4,377","3,943","4,685","8,343","6,865","7,907","3,642","3,460","5,050","2,870",859,36.1,-,"47,624","14,414","45,195","42,843","38,996","10,527","8,779","59,609","26,916","19,437","3,186","32,693","25,758","5,593","59,609","57,586","22,362","24,533",343,"1,039",-,"9,309","2,023","23,485","25,936",791,"1,343",60,"10,226","59,609","36,265","23,344","1,535","19,922",163,918,-
0,10474,"12,127","1,064",965,866,956,953,"2,439","1,421","1,526",459,565,578,243,92,30.2,-,"9,232","3,528","8,599","8,125","7,323","1,227",913,"12,127","6,430","4,441",358,"5,697","4,158",555,"12,127","11,729","1,118","4,782",36,10,43,"5,740",398,"1,355","5,151",71,30,43,"5,895","12,127","7,688","4,439",147,"4,229",12,9,-
0,10475,"43,208","1,786","2,422","1,915","2,174","2,678","4,406","6,215","5,327","2,440","3,251","5,573","3,613","1,408",45.0,-,"37,085","7,472","35,736","34,775","32,233","12,763","10,594","43,208","18,358","14,509","3,844","24,850","21,227","6,750","43,208","41,286","7,682","26,281",316,"1,206",-,"5,801","1,922","8,652","28,010","1,199","1,261",11,"6,538","43,208","12,542","30,666","3,419","24,539",-,"1,186",-
0,11004,"15,234","1,085",616,500,577,964,"2,529","1,486","1,863","1,112","1,520","1,336",980,666,44.4,-,"13,033","2,596","12,638","12,368","11,492","3,708","2,982","15,234","7,144","6,150","1,273","8,090","6,488","1,709","15,234","14,555","6,402","1,005",64,"6,540",42,502,679,"6,869","1,198",141,"7,056",42,704,"15,234","1,916","13,318","5,090","1,003",64,"6,529",42
0,11101,"30,043","2,025","1,464","1,209","1,223","1,991","7,719","5,367","3,674","1,374","1,492","1,470",792,243,34.1,-,"25,345","5,451","24,592","23,673","22,131","3,227","2,505","30,043","15,297","12,431","1,180","14,746","12,161","1,325","30,043","28,434","12,915","4,713",192,"6,842",41,"3,731","1,609","14,234","5,395",399,"7,620",202,"4,048","30,043","7,908","22,135","9,746","4,350",-,"6,773",41
0,11102,"30,800","1,661",992,"1,228","1,279","2,097","8,952","4,523","3,611","1,487","1,339","2,121",966,544,33.7,-,"26,919","4,670","26,130","25,313","23,543","4,351","3,631","30,800","15,375","12,712","1,438","15,425","13,418","2,193","30,800","29,872","18,207","2,964",24,"4,650",16,"4,011",928,"18,983","3,375",194,"4,960",25,"4,300","30,800","9,472","21,328","13,229","2,659",24,"4,650",-
0,11103,"36,140","1,612",948,"1,096","1,208","2,455","11,710","5,679","3,851","2,074","1,422","2,261","1,423",401,33.8,-,"32,484","4,401","31,739","31,083","28,821","4,888","4,085","36,140","17,586","15,705","1,791","18,554","16,034","2,294","36,140","34,887","25,632",961,122,"5,379",45,"2,748","1,253","26,642","1,318",295,"5,959",166,"3,100","36,140","8,204","27,936","20,953",684,15,"5,332",45
0,11104,"26,119","1,444","1,113",935,905,"1,082","5,956","5,283","3,235","1,298","1,510","1,833","1,219",306,37.8,-,"22,627","4,112","22,007","21,533","20,640","4,195","3,358","26,119","12,954","10,928","1,436","13,165","11,079","1,922","26,119","25,519","17,459",490,71,"5,769",-,"1,730",600,"18,050",670,121,"6,089",79,"1,830","26,119","8,210","17,909","11,361",321,23,"5,710",-
0,11105,"37,382","1,833","1,411","1,238","1,228","2,320","10,341","5,500","4,635","2,359","1,687","2,378","1,641",811,35.4,-,"32,900","5,252","32,130","31,429","29,352","5,780","4,830","37,382","18,814","16,099","2,083","18,568","16,031","2,747","37,382","36,214","27,867",960,243,"4,658",-,"2,486","1,168","28,882","1,308",415,"5,135",-,"2,875","37,382","8,212","29,170","22,775",791,208,"4,548",-
0,11106,"38,363","1,645","1,911","1,334","1,207","2,194","10,307","6,559","4,441","1,846","1,709","2,870","1,454",886,35.5,-,"33,473","5,628","32,735","31,902","30,072","6,075","5,210","38,363","18,799","15,848","1,955","19,564","16,887","3,255","38,363","36,506","20,734","2,727",108,"8,086",8,"4,843","1,857","22,360","3,431",354,"8,528",113,"5,472","38,363","10,844","27,519","15,779","2,296",63,"7,951",8
0,11109,"5,981",569,221,81,15,213,"2,374","1,355",722,214,118,99,-,-,32.7,-,"5,110",871,"5,110","5,044","4,882",146,99,"5,981","2,895","2,548",99,"3,086","2,562",-,"5,981","5,819","4,013",272,-,"1,500",-,34,162,"4,159",287,27,"1,620",16,65,"5,981",333,"5,648","3,719",248,-,"1,500",-
0,11201,"62,823","4,316","2,942","2,049","2,570","3,344","15,959","11,441","7,346","2,709","2,945","3,930","2,158","1,114",35.2,-,"53,516","10,467","52,356","50,323","47,602","9,041","7,202","62,823","30,042","24,684","2,789","32,781","27,672","4,413","62,823","59,121","40,248","8,537",147,"7,430",58,"2,701","3,702","43,168","10,030",616,"9,358",171,"3,365","62,823","7,267","55,556","36,991","7,900",32,"7,408",58
0,11203,"75,451","4,228","4,570","4,297","4,220","5,205","10,861","9,333","9,401","5,327","4,458","7,359","4,572","1,620",39.8,-,"62,356","15,869","59,582","57,104","52,931","16,265","13,551","75,451","33,245","25,245","5,141","42,206","34,337","8,410","75,451","74,218","3,330","67,171",114,"1,431",-,"2,172","1,233","3,919","67,977",478,"1,820",12,"2,546","75,451","4,846","70,605","2,881","65,073",101,"1,339",-
0,11204,"76,978","6,599","6,128","5,963","4,517","4,261","11,361","10,170","8,593","4,518","4,391","5,601","3,022","1,854",34.7,-,"58,288","21,743","55,235","52,800","49,510","13,102","10,477","76,978","38,466","27,003","4,571","38,512","28,232","5,906","76,978","75,675","44,686",893,178,"24,594",13,"5,311","1,303","45,706","1,118",343,"25,530",141,"5,561","76,978","8,396","68,582","41,872",851,151,"24,376",13
0,11205,"46,064","4,303","3,638","2,837","3,468","4,327","9,058","6,820","4,461","1,869","1,845","2,247",891,300,29.8,-,"35,286","12,395","33,669","31,097","27,491","4,438","3,438","46,064","21,340","14,902","1,276","24,724","18,767","2,162","46,064","44,304","22,570","14,651",272,"3,184",8,"3,619","1,760","23,871","15,686",716,"3,811",18,"4,006","46,064","8,153","37,911","19,470","13,586",127,"3,138",8
0,11206,"88,349","7,583","6,987","6,436","5,902","8,049","18,532","10,553","7,901","4,112","3,215","5,222","3,095",762,29.3,-,"67,343","24,894","63,455","60,189","53,392","10,817","9,079","88,349","42,822","29,225","3,348","45,527","34,230","5,731","88,349","85,010","41,715","23,405",638,"6,056",33,"13,163","3,339","44,187","25,356","1,190","6,796",312,"14,002","88,349","32,797","55,552","29,534","18,491",179,"5,966",33
0,11207,"91,972","6,401","6,324","5,920","5,607","7,165","15,684","11,543","11,924","5,969","4,927","6,015","3,189","1,304",34.1,-,"73,327","21,879","70,093","66,376","60,555","13,216","10,508","91,972","41,188","30,478","4,368","50,784","39,615","6,140","91,972","89,709","13,372","59,171",386,"1,300",86,"15,394","2,263","14,630","60,644",914,"1,806",161,"16,233","91,972","30,605","61,367","3,695","54,049",129,"1,295",45
0,11208,"98,660","8,567","7,657","6,547","6,782","7,446","15,704","12,900","13,153","5,823","5,147","5,692","2,287",955,32.5,-,"75,889","26,848","71,812","67,570","61,661","11,736","8,934","98,660","45,869","32,382","3,499","52,791","39,430","5,435","98,660","96,857","25,549","53,666",339,"5,621",62,"11,620","1,803","26,402","54,888",792,"6,162",155,"12,279","98,660","40,756","57,904","2,388","48,148",17,"5,621",2
0,11209,"67,809","4,307","3,418","3,192","2,779","3,354","11,642","9,283","9,364","4,376","4,602","6,271","3,512","1,709",40.6,-,"56,892","12,523","55,286","53,671","50,759","14,178","11,492","67,809","32,504","26,544","4,681","35,305","28,742","6,811","67,809","65,378","50,050","2,078",211,"9,115",69,"3,855","2,431","52,140","2,916",440,"10,183",165,"4,543","67,809","11,441","56,368","43,770","1,833",71,"9,044",54
0,11210,"67,040","4,741","5,135","4,975","4,961","4,277","8,846","9,251","7,683","4,453","3,826","5,590","2,355",947,35.6,-,"52,189","17,967","49,073","46,121","42,951","11,095","8,892","67,040","30,595","21,576","3,880","36,445","27,497","5,012","67,040","65,891","20,877","39,272",70,"2,863",-,"2,809","1,149","21,586","40,155",208,"3,390",27,"3,053","67,040","4,716","62,324","19,773","38,113",23,"2,828",-
0,11211,"102,624","9,952","6,710","5,893","5,208","6,275","28,388","15,606","8,125","3,728","3,923","4,742","2,630","1,444",30.7,-,"80,069","25,893","76,731","74,159","68,586","11,154","8,816","102,624","51,067","38,045","3,975","51,557","38,686","4,841","102,624","99,292","76,620","6,611",499,"5,753",8,"9,801","3,332","79,197","8,084","1,167","7,016",252,"10,579","102,624","24,955","77,669","65,618","3,822",185,"5,679",8
0,11212,"76,527","5,099","3,917","5,080","4,662","4,765","12,443","10,111","10,889","4,856","4,464","5,984","3,070","1,187",37.6,-,"62,431","16,854","59,673","56,579","53,004","12,645","10,241","76,527","32,439","23,764","3,479","44,088","35,909","6,762","76,527","74,820","5,487","62,425",168,986,30,"5,724","1,707","6,500","63,695",496,"1,373",70,"6,283","76,527","14,266","62,261",907,"59,207",116,974,30
0,11213,"66,295","4,661","3,655","4,502","4,496","5,715","11,551","8,209","8,406","4,249","3,248","4,141","2,292","1,170",33.4,-,"53,477","15,751","50,544","47,843","43,266","9,531","7,603","66,295","30,437","22,310","2,902","35,858","28,234","4,701","66,295","64,408","14,869","44,813",108,"1,357",-,"3,261","1,887","16,310","46,001",558,"1,888",18,"3,538","66,295","7,060","59,235","13,651","42,570",13,"1,252",-
0,11214,"92,946","6,466","5,489","4,961","4,208","5,229","13,561","13,263","12,909","6,271","5,238","8,110","4,855","2,386",39.6,-,"76,030","19,613","73,333","70,986","66,593","18,493","15,351","92,946","45,577","35,434","6,383","47,369","37,899","8,968","92,946","90,476","45,769","1,364",192,"34,861",11,"8,279","2,470","47,885","1,660",420,"36,714",51,"8,712","92,946","15,273","77,673","39,676","1,143",49,"34,742",11
0,11215,"70,156","5,718","4,228","3,066","2,355","2,611","15,291","14,072","9,215","3,396","2,913","4,427","2,141",723,36.0,-,"57,144","14,878","55,278","54,540","52,178","8,929","7,291","70,156","33,597","26,025","3,082","36,559","29,253","4,209","70,156","66,012","53,421","3,233",94,"5,572",-,"3,692","4,144","57,139","4,752",599,"7,793",84,"4,376","70,156","11,428","58,728","46,961","2,636",53,"5,531",-
0,11216,"56,308","2,879","2,365","1,955","1,881","4,603","15,538","8,255","6,656","3,099","2,550","3,422","2,197",908,34.2,-,"49,109","8,488","47,820","46,527","42,625","8,053","6,527","56,308","26,400","21,847","2,359","29,908","25,973","4,168","56,308","53,927","16,316","32,083",157,"2,925",10,"2,436","2,381","18,319","33,463",476,"3,695",39,"2,836","56,308","6,079","50,229","14,656","30,784",18,"2,898",-
0,11217,"41,407","2,988","1,642","1,756","1,519","1,936","10,881","7,621","4,895","1,775","2,067","2,641","1,228",458,35.0,-,"35,021","7,574","33,833","33,262","31,566","5,478","4,327","41,407","19,458","15,679","1,833","21,949","18,154","2,494","41,407","39,519","24,009","8,163",46,"3,135",10,"4,156","1,888","25,677","8,922",363,"4,033",39,"4,411","41,407","7,671","33,736","21,072","7,745",3,"3,119",10
0,11218,"74,508","7,400","5,381","5,450","4,073","4,139","11,864","11,527","8,486","3,745","3,643","5,394","2,387","1,019",34.2,-,"56,277","20,957","53,551","51,321","48,065","11,000","8,800","74,508","37,538","26,937","3,767","36,970","26,614","5,033","74,508","71,549","44,496","6,015",403,"13,810",-,"6,825","2,959","46,824","7,142",915,"15,524",70,"7,275","74,508","13,089","61,419","39,092","5,637",85,"13,789",-
0,11219,"90,036","11,604","8,794","8,067","6,166","6,314","12,828","9,898","7,977","3,813","3,948","5,879","2,688","2,060",27.8,-,"61,571","32,619","57,417","54,248","49,091","13,039","10,627","90,036","44,986","28,459","4,451","45,050","28,958","6,176","90,036","89,224","60,521",931,224,"22,042",14,"5,492",812,"61,167","1,246",390,"22,318",39,"5,777","90,036","10,913","79,123","55,723",815,101,"22,002",-
0,11220,"95,643","7,489","6,563","5,904","4,707","5,886","18,287","14,058","12,422","5,121","4,673","5,798","3,541","1,194",34.3,-,"75,687","22,799","72,844","69,873","65,094","13,024","10,533","95,643","48,315","35,960","4,749","47,328","36,884","5,784","95,643","93,189","29,005","2,458",428,"39,493",-,"21,805","2,454","30,963","3,363",673,"40,249",34,"22,948","95,643","39,840","55,803","13,452","1,557",159,"39,441",-
0,11221,"83,835","5,506","4,236","4,278","4,993","8,461","18,862","11,084","9,771","4,604","3,364","5,212","2,586",878,31.6,-,"69,815","17,025","66,810","63,542","56,361","10,442","8,676","83,835","40,147","31,652","3,466","43,688","35,158","5,210","83,835","80,560","23,203","41,079",558,"2,815",16,"12,889","3,275","25,533","42,967","1,268","3,570",121,"13,922","83,835","28,781","55,054","13,793","36,355",163,"2,815",3
0,11222,"36,492","1,782","1,081",779,867,"1,806","12,143","7,063","3,655","1,926","1,602","2,155","1,118",515,34.8,-,"32,850","4,064","32,428","31,717","30,177","4,712","3,788","36,492","18,000","15,913","1,601","18,492","16,515","2,187","36,492","34,976","29,893","1,590",96,"1,841",6,"1,550","1,516","31,256","1,983",221,"2,599",21,"1,976","36,492","5,197","31,295","26,794","1,345",88,"1,819",6
0,11223,"81,789","7,421","5,311","4,568","4,620","4,793","12,683","9,706","9,485","5,258","5,052","6,690","4,098","2,104",36.5,-,"64,489","20,195","61,594","59,055","55,076","15,633","12,892","81,789","40,113","29,364","5,560","41,676","32,230","7,332","81,789","79,158","46,811","3,886",239,"19,777",139,"8,306","2,631","49,148","4,443",703,"21,426",169,"8,548","81,789","13,697","68,092","42,631","2,861",140,"19,745",134
0,11224,"46,707","2,692","2,620","2,490","2,537","2,493","5,201","5,002","5,555","2,874","3,173","5,862","4,232","1,976",45.5,-,"38,905","9,330","37,377","35,877","33,875","14,032","12,070","46,707","20,929","16,331","4,908","25,778","21,046","7,162","46,707","45,407","27,137","10,495",68,"2,769",4,"4,934","1,300","28,274","11,121",213,"3,291",49,"5,136","46,707","9,516","37,191","23,843","9,636",68,"2,753",4
