,zipcode,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,10013,"28,709","1,878","1,550",986,898,"1,916","5,431","4,906","3,398","1,553","1,741","2,248","1,165","1,039",38.0,-,"24,295","4,814","23,895","22,820","21,481","5,267","4,452","28,709","14,029","11,621","1,846","14,680","12,274","2,606","28,709","27,467","15,961","1,260",62,"9,558",-,626,"1,242","16,952","1,546",207,"10,478",24,770,"28,709","1,728","26,981","15,042","1,044",61,"9,545",-
0,10014,"30,738","1,188",608,582,529,"1,198","8,945","5,197","3,805","2,196","1,908","2,708","1,116",758,38.3,-,"28,360","2,734","28,004","27,707","26,633","5,580","4,582","30,738","15,513","14,437","2,366","15,225","13,567","2,216","30,738","29,862","27,314",336,25,"1,766",-,421,876,"28,163",529,210,"2,340",-,513,"30,738","2,047","28,691","25,787",311,-,"1,725",-
0,10016,"51,057","1,910",865,690,992,"5,384","17,363","6,237","5,227","2,841","2,126","4,032","2,186","1,204",33.5,-,"47,592","3,745","47,312","46,113","41,216","8,635","7,422","51,057","24,165","22,631","3,158","26,892","24,681","4,264","51,057","49,373","36,727","1,929",66,"9,858",19,774,"1,684","37,693","2,744",222,"10,971",19,"1,129","51,057","3,543","47,514","33,836","1,780",31,"9,748",-
0,10017,"15,801",483,186,266,303,948,"4,322","2,336","1,876",844,874,"2,265",865,233,39.7,-,"14,866","1,162","14,639","14,473","13,615","3,896","3,363","15,801","7,134","6,662","1,299","8,667","7,977","2,064","15,801","15,486","11,683",370,-,"3,352",-,81,315,"11,998",478,21,"3,603",-,81,"15,801",932,"14,869","10,825",354,-,"3,352",-
0,10018,"9,687",332,152,103,106,844,"3,897","1,929",911,406,304,419,179,105,32.8,-,"9,100",615,"9,072","8,887","8,150",845,703,"9,687","5,144","4,940",262,"4,543","4,132",441,"9,687","9,337","5,791",466,1,"2,897",-,182,350,"6,026",561,6,"3,172",72,200,"9,687","1,471","8,216","4,611",432,-,"2,867",-
0,10019,"43,703","1,245",761,620,889,"2,730","12,010","7,284","6,062","2,868","2,440","4,310","1,726",758,39.5,-,"41,077","3,124","40,579","39,763","37,458","8,514","6,794","43,703","22,413","21,189","2,827","21,290","19,390","3,967","43,703","42,214","29,663","2,553",362,"7,596",74,"1,966","1,489","30,782","3,144",557,"8,341",88,"2,415","43,703","7,328","36,375","24,786","2,331",68,"7,554",60
0,10021,"46,215","2,869","2,303","1,760",950,880,"9,328","7,170","5,498","3,076","2,131","5,205","3,712","1,333",41.0,-,"39,283","7,447","38,768","38,229","37,453","11,347","10,250","46,215","21,010","17,136","4,502","25,205","21,632","5,748","46,215","45,037","38,017",420,158,"4,333",40,"2,069","1,178","38,955",681,300,"5,154",87,"2,229","46,215","3,664","42,551","36,643",270,156,"4,333",40
0,10022,"31,125","1,093",838,575,611,966,"6,305","4,496","3,301","1,946","2,113","4,474","3,051","1,356",47.5,-,"28,619","2,759","28,366","27,874","27,042","9,780","8,881","31,125","14,113","12,656","3,863","17,012","15,710","5,018","31,125","30,490","26,028",448,62,"3,801",-,151,635,"26,476",732,115,"4,338",-,235,"31,125","1,686","29,439","24,521",373,62,"3,801",-
0,10023,"62,435","3,504","2,118","2,018","1,801","2,268","11,520","9,716","7,725","4,153","3,587","8,097","3,623","2,305",43.3,-,"54,795","8,513","53,922","52,610","50,726","15,769","14,025","62,435","27,151","23,138","5,707","35,284","30,784","8,318","62,435","61,137","49,795","2,610",48,"6,637",-,"2,047","1,298","50,915","3,088",175,"7,541",-,"2,106","62,435","6,562","55,873","45,242","2,348",48,"6,637",-
0,10024,"59,001","3,588","2,759","2,485","1,674","1,357","10,226","8,959","8,765","3,757","3,952","6,724","2,836","1,919",43.1,-,"50,169","10,106","48,895","48,190","47,138","13,450","11,479","59,001","26,607","21,483","4,580","32,394","27,412","6,899","59,001","57,343","49,026","2,287",173,"4,274",-,"1,583","1,658","50,267","2,744",607,"5,035",366,"1,899","59,001","6,420","52,581","45,305","1,731",-,"4,274",-
0,10025,"92,805","3,911","3,507","3,836","4,050","6,943","16,838","11,443","11,904","5,353","6,430","11,198","4,587","2,805",41.3,-,"81,551","13,111","79,694","76,174","70,558","22,745","18,590","92,805","41,890","35,977","7,642","50,915","43,717","10,948","92,805","88,542","59,985","11,737",606,"8,271",14,"7,929","4,263","63,435","14,041","1,734","9,441",184,"8,697","92,805","21,736","71,069","50,675","9,197",51,"8,271",14
0,10026,"39,363","2,646","1,991","1,873","1,583","2,686","8,846","5,670","5,933","2,275","1,747","2,359","1,112",642,35.1,-,"32,853","7,579","31,784","30,898","28,584","5,137","4,113","39,363","18,124","14,457","1,433","21,239","17,327","2,680","39,363","37,559","10,410","21,023",86,"2,308",29,"3,703","1,804","11,316","22,257",267,"2,765",222,"4,360","39,363","8,389","30,974","7,744","19,796",20,"2,308",-
0,10027,"64,548","3,288","3,218","2,923","5,167","8,543","13,274","8,298","7,300","3,194","2,781","3,618","2,249",695,31.0,-,"55,119","11,231","53,317","48,220","41,409","8,176","6,562","64,548","29,804","24,181","2,441","34,744","29,136","4,121","64,548","61,807","19,706","25,484",261,"6,163",5,"10,188","2,741","21,562","26,969",943,"7,093",109,"10,877","64,548","16,427","48,121","16,194","23,723",83,"6,121",5
0,10028,"47,793","1,940","1,997","1,621","1,148","1,580","12,742","6,482","5,964","2,837","2,609","4,807","2,814","1,252",38.9,-,"42,235","6,386","41,407","40,970","39,507","10,225","8,873","47,793","20,516","16,915","3,530","27,277","24,492","5,343","47,793","46,894","41,217",604,10,"4,607",-,456,899,"42,036",881,17,"5,165",16,600,"47,793","3,533","44,260","38,688",392,10,"4,506",-
0,10029,"79,597","3,644","4,373","4,921","5,305","7,045","14,413","10,701","9,341","4,532","4,617","5,290","3,690","1,725",35.1,-,"66,659","15,992","63,605","59,765","54,309","13,496","10,705","79,597","36,356","27,932","3,605","43,241","35,673","7,100","79,597","77,132","26,896","24,699",493,"7,534",97,"17,413","2,465","28,318","25,714","1,436","8,181",180,"18,436","79,597","38,122","41,475","12,310","20,558",43,"7,395",17
0,10030,"29,882","2,107","1,377","1,077","1,434","2,106","6,035","4,863","4,466","1,414","1,684","1,657",999,663,36.1,-,"25,321","5,267","24,615","23,725","21,781","4,273","3,319","29,882","13,233","10,756","1,090","16,649","13,859","2,229","29,882","27,998","5,038","18,842",21,617,123,"3,357","1,884","6,229","20,149",828,753,220,"3,918","29,882","7,655","22,227","3,217","17,098",21,536,123
0,10031,"60,254","3,190","2,445","2,613","2,998","5,539","14,258","7,957","8,395","2,850","3,461","3,462","2,333",753,34.2,-,"52,006","10,151","50,103","48,182","43,469","8,439","6,548","60,254","30,567","25,029","2,664","29,687","25,074","3,884","60,254","50,101","17,917","17,982",168,"2,380",74,"11,580","10,153","27,072","26,486","1,279","3,326",167,"12,540","60,254","30,955","29,299","10,485","14,291",61,"2,279",-
0,10032,"64,264","2,792","2,769","2,357","2,441","5,702","16,344","8,342","7,780","4,105","3,331","4,428","2,770","1,103",34.7,-,"56,346","9,361","54,903","53,202","48,203","10,102","8,301","64,264","32,163","27,544","3,311","32,101","27,359","4,990","64,264","57,022","19,122","12,373",476,"3,029",83,"21,939","7,242","22,532","14,433","5,271","3,623",186,"26,246","64,264","42,594","21,670","9,038","8,737",68,"2,888",83
0,10033,"59,607","3,606","2,852","2,723","2,969","4,154","12,703","8,538","7,023","3,763","2,954","4,669","2,695",958,35.8,-,"50,426","10,791","48,816","46,599","43,303","9,762","8,322","59,607","30,216","24,400","3,447","29,391","24,416","4,875","59,607","53,882","24,141","6,195",887,"1,316",-,"21,343","5,725","27,132","8,637","3,613","1,953",47,"24,693","59,607","40,842","18,765","14,090","2,448",20,"1,238",-
0,10034,"42,910","2,532","2,224","2,343","2,381","2,793","8,043","6,409","5,614","2,120","2,672","3,637","1,451",691,36.4,-,"35,811","8,438","34,472","33,011","30,637","7,165","5,779","42,910","20,361","16,166","2,257","22,549","18,306","3,522","42,910","40,752","16,463","4,965",191,"1,319",103,"17,711","2,158","18,045","5,989",669,"1,762",136,"18,662","42,910","29,925","12,985","8,628","2,329",11,"1,298",14
0,10035,"35,743","2,261","1,734","1,513","1,777","2,496","7,257","5,120","4,989","2,342","1,733","2,454","1,295",772,36.3,-,"30,235","6,502","29,241","28,026","25,962","5,484","4,521","35,743","17,697","14,441","1,852","18,046","14,800","2,669","35,743","33,987","7,246","14,580",310,"1,755",36,"10,060","1,756","8,334","15,618",657,"2,281",108,"10,720","35,743","15,935","19,808","3,638","13,227",52,"1,583",36
0,10036,"27,428","1,138",462,301,444,"2,304","7,993","4,800","3,869","1,365","1,646","2,118",860,128,36.7,-,"25,527","2,163","25,265","24,629","22,779","3,805","3,106","27,428","14,922","13,833","1,541","12,506","11,432","1,565","27,428","26,713","17,319","1,978",137,"5,218",12,"2,049",715,"17,940","2,326",247,"5,502",23,"2,270","27,428","5,908","21,520","14,100","1,726",39,"5,218",-
0,10037,"21,139","1,997","1,111","1,196","1,070","1,232","3,845","2,529","2,811","1,256","1,017","1,408",971,696,35.3,-,"16,835","5,093","16,046","15,600","14,533","3,697","3,075","21,139","9,399","6,512","1,022","11,740","9,534","2,053","21,139","19,976","2,291","15,206",5,528,26,"1,920","1,163","2,940","15,990",447,797,26,"2,367","21,139","4,517","16,622","1,247","14,335",-,528,-
0,10038,"22,800",899,598,663,"1,402","2,083","5,152","3,392","2,161","1,198","1,387","1,910","1,291",664,36.2,-,"20,640","2,630","20,170","18,897","17,155","4,526","3,865","22,800","10,696","9,235","1,507","12,104","10,935","2,358","22,800","21,926","11,784","2,128",49,"7,249",-,716,874,"12,533","2,461",196,"7,693",14,811,"22,800","3,218","19,582","10,249","1,558",49,"7,069",-
0,10039,"27,726","2,203","1,716","2,020","1,649","2,066","4,836","3,804","3,538","1,874","1,422","1,397",771,430,33.7,-,"21,787","6,905","20,821","19,928","18,072","3,411","2,598","27,726","11,816","8,950",571,"15,910","11,871","2,027","27,726","26,338","3,625","17,158",158,452,11,"4,934","1,388","4,356","18,406",722,555,32,"5,135","27,726","9,378","18,348","1,872","15,274",81,452,11
0,10040,"44,571","2,238","2,128","2,142","2,177","3,341","8,818","6,086","5,399","2,470","2,431","3,589","1,991","1,761",37.4,-,"38,063","7,762","36,809","35,391","32,545","8,923","7,341","44,571","20,779","16,652","2,661","23,792","20,157","4,680","44,571","41,402","16,091","4,359",554,"1,355",-,"19,043","3,169","18,661","6,355","1,329","1,639",17,"20,176","44,571","30,968","13,603","9,352","2,181",22,"1,257",-
0,10044,"11,682",558,345,300,281,700,"2,551","1,572","1,703",699,735,"1,080",727,431,42.2,-,"10,479","1,445","10,237","10,198","9,498","2,705","2,238","11,682","5,498","4,753","1,156","6,184","5,484","1,082","11,682","11,204","5,320","1,420",-,"3,963",-,501,478,"5,744","1,541",48,"4,218",51,585,"11,682","1,553","10,129","4,448","1,296",-,"3,958",-
0,10065,"28,109","1,650","1,000",916,356,"1,785","5,847","4,165","3,366","1,460","1,522","2,874","2,113","1,055",39.8,-,"24,543","3,804","24,305","24,023","22,402","6,798","6,042","28,109","12,248","9,884","2,209","15,861","14,421","3,833","28,109","27,761","24,285",619,37,"2,666",-,154,348,"24,613",662,79,"2,939",11,166,"28,109","1,849","26,260","22,684",575,29,"2,633",-
0,10069,"5,085",368,416,274,95,235,"1,021","1,147",752,235,197,148,109,88,36.0,-,"4,027","1,142","3,943","3,932","3,697",426,345,"5,085","2,354","1,713",204,"2,731","2,230",141,"5,085","4,861","3,155",148,-,"1,558",-,-,224,"3,330",197,38,"1,695",-,49,"5,085",57,"5,028","3,123",148,-,"1,533",-
0,10075,"21,556","1,041","1,252",736,763,778,"3,422","2,791","2,697","1,118","1,131","2,837","1,739","1,251",45.0,-,"18,527","3,490","18,066","17,741","16,986","6,419","5,827","21,556","10,096","8,177","2,210","11,460","9,889","3,617","21,556","21,247","18,396",677,225,"1,047",-,902,309,"18,693",743,280,"1,235",12,902,"21,556","3,070","18,486","16,362",677,91,"1,047",-
0,10128,"59,256","3,204","2,138","1,911","1,691","2,644","14,041","8,198","7,948","2,989","3,494","6,117","3,537","1,344",39.5,-,"52,003","8,541","50,715","50,177","47,668","12,971","10,998","59,256","25,338","21,548","4,443","33,918","29,167","6,555","59,256","56,859","47,167","2,182",-,"5,844",-,"1,666","2,397","49,139","2,808",176,"7,340",18,"2,250","59,256","7,307","51,949","42,129","1,766",-,"5,781",-
0,10280,"9,384",711,628,454,192,239,"1,897","1,966","1,534",530,375,624,194,40,38.1,-,"7,591","1,942","7,442","7,379","7,160","1,050",858,"9,384","4,477","3,400",330,"4,907","4,042",528,"9,384","9,095","7,360",184,-,"1,474",-,77,289,"7,611",330,-,"1,561",38,150,"9,384",826,"8,558","6,612",164,-,"1,474",-
0,10282,"5,593",934,397,289,119,44,976,"1,559",691,122,132,192,-,138,35.3,-,"3,973","1,739","3,854","3,854","3,810",379,330,"5,593","2,707","1,785",58,"2,886","2,069",272,"5,593","5,390","4,153",61,-,"1,163",-,13,203,"4,356",61,-,"1,366",-,13,"5,593",424,"5,169","3,745",45,-,"1,163",-
0,10301,"38,733","2,446","2,137","2,417","2,690","3,129","4,984","4,893","5,095","2,596","2,580","3,335","1,679",752,38.2,-,"31,733","8,503","30,230","28,465","25,914","7,416","5,766","38,733","18,449","13,875","2,558","20,284","16,355","3,208","38,733","36,346","22,280","9,668",39,"2,351",11,"1,997","2,387","24,335","11,640",282,"2,610",66,"2,296","38,733","9,591","29,142","16,456","8,200",23,"2,320",-
0,10302,"18,204","1,086","1,185","1,193","1,363","1,215","3,077","2,385","2,712","1,219",895,"1,166",590,118,34.9,-,"14,740","4,230","13,974","13,099","12,162","2,358","1,874","18,204","9,313","7,052",758,"8,891","6,922","1,116","18,204","17,671","11,286","3,754",212,"1,335",1,"1,083",533,"11,699","4,029",302,"1,530",7,"1,229","18,204","7,479","10,725","5,681","3,502",10,"1,269",1
0,10303,"25,947","1,807","1,775","2,111","2,233","1,957","3,754","3,369","3,474","1,696","1,337","1,596",632,206,33.1,-,"20,254","7,073","18,874","17,563","16,064","3,207","2,434","25,947","12,810","9,135",975,"13,137","9,739","1,459","25,947","25,065","11,406","9,170",126,"2,106",-,"2,257",882,"12,055","9,784",289,"2,325",115,"2,444","25,947","10,103","15,844","4,581","8,543",49,"2,099",-
0,10304,"41,064","2,528","2,847","2,479","2,934","2,615","5,632","4,738","5,803","2,766","2,882","3,277","1,817",746,38.1,-,"33,210","9,771","31,293","29,753","27,661","7,556","5,840","41,064","20,233","15,150","2,692","20,831","16,143","3,148","41,064","40,033","21,403","11,277",99,"3,969",26,"3,259","1,031","22,090","11,936",320,"4,320",36,"3,603","41,064","10,363","30,701","15,539","10,335",99,"3,918",12
