,zcta,covid_cases
0,63101,12
1,63102,12
2,63103,84
3,63104,89
4,63106,100
5,63107,73
6,63108,187
7,63109,74
8,63110,57
9,63111,83
10,63112,110
11,63113,182
12,63115,152
13,63116,254
14,63118,123
15,63120,41
16,63123,9
17,63136,25
18,63137,5
19,63139,88
20,63147,126
