,zcta,covid_cases
0,22306,401
1,22305,370
2,22304,352
3,22309,311
4,22312,250
5,22311,219
6,22310,166
7,22314,123
8,22302,114
9,22303,84
10,22315,60
11,22301,41
12,22307,40
13,22308,26
